binno,ratio_mean,ratio_ci,age
52,0,,251.551
53,0.181941360724956,0.00998558161901404,253.021
54,0.301070312953542,0.010378052502803,256.825
55,0.385918227624781,0.012296882469173,261.895
56,0.293799133902938,0.00782332318811148,265.59
57,0.433648810870129,0.0105149046941935,269.955
58,0.352522555801908,0.0125921910584658,278.255
59,0.389430781197802,0.0128305364136261,286.8
60,0.627263900483706,0.0213360982040829,291.81
61,0.668849639815922,0.01292724159185,296.21
62,0.41540706544671,0.0139696939378054,301.3
63,0.765460000607968,0.0337321397938245,305.35
64,0.440600636001512,0.00547725433410441,311.1
65,0.617613175271933,0.0039721396743436,319.2
66,0.577595567676765,0.0116000128619539,327.05
