"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
2,NA,NA,0.07035,-0.244508439827327
4,NA,NA,1.287,-0.242951018602717
8,NA,NA,6.2895,-0.236547369503871
10,NA,NA,12.725,-0.22830935175762
14,NA,NA,25.425,-0.212052211616622
15,NA,NA,30.86,-0.20509492369014
16,NA,NA,35.805,-0.198764879753349
17,NA,NA,39.455,-0.194092552075031
18,NA,NA,44.5,-0.187634499160753
19,NA,NA,51.9,-0.178161834826628
20,NA,NA,57.6,-0.170865323109802
21,NA,NA,60.4,-0.167281071740133
22,NA,NA,63.8,-0.162928766505535
23,NA,NA,69.05,-0.156208295187406
24,NA,NA,77.85,-0.144943505168447
25,NA,NA,84.95,-0.135854867766787
26,NA,NA,88.05,-0.131886589464653
27,NA,NA,91.85,-0.127022248320103
28,NA,NA,97.2,-0.120173768024486
29,NA,NA,106.75,-0.107948910674365
30,NA,NA,117.2,-0.094571972526851
31,NA,NA,123.585,-0.0863985993142312
32,NA,NA,129.185,-0.0792300965748935
33,NA,NA,136.2,-0.0702502668040981
34,NA,NA,142.4,-0.0623137101998313
35,NA,NA,147.1,-0.0562972882578873
36,NA,NA,152,-0.0500248483609668
37,NA,NA,158.15,-0.0421522962454441
38,NA,NA,163.4,-0.035431824927315
39,NA,NA,166.75,-0.0311435241814612
40,NA,NA,169.55,-0.0275592728117924
41,NA,NA,172.8,-0.0233989810434267
42,NA,NA,179.45,-0.0148863840404632
43,NA,NA,188.55,-0.00323756708903949
44,NA,NA,196.2,0.00655511968880568
45,NA,NA,200.4,0.011931496743309
46,NA,NA,204.9,0.0176919007302768
47,NA,NA,217.75,0.034141054337507
48,NA,NA,232,0.0523823336295717
49,NA,NA,239.5,0.0619830069411847
50,NA,NA,244.6,0.0685114647930815
51,NA,NA,249.2,0.0743998777575374
52,NA,NA,251.551,0.0774093688182844
54,0.12,0,256.825,0.0841605622910106
55,NA,NA,261.895,0.0906506174496627
56,NA,NA,265.59,0.0953805491678581
57,NA,NA,269.955,0.100968141035238
58,0.0773340213278294,0.00775137573097411,278.255,0.111592886166859
59,NA,NA,286.8,0.122531253293451
60,0.158805692587426,0.0116420331549026,291.81,0.128944503065816
61,NA,NA,296.21,0.134576898075529
62,0,0,301.3,0.141092555030007
63,NA,NA,305.35,0.146276918618581
64,NA,NA,311.1,0.153637434824616
65,0.0403455867167916,0.00398313793971601,319.2,0.164006162001797
66,NA,NA,327.05,0.174054866735079
67,0.340854658691578,0.016957192487389,338.8,0.18909592158976
68,0.253102495188756,0.00561106289477645,352.8,0.207017178435499
69,0.280051284303458,0.00642307270803897,365.55,0.223338323060046
70,NA,NA,377.45,0.238571391373736
71,0.387662616864448,0.0154718141981496,385.2,0.248492087122923
72,NA,NA,390.5,0.255276562925006
73,NA,NA,400.45,0.26801345617501
74,NA,NA,409.2,0.279214241695511
75,0.310148978233344,0.00744089424496201,415,0.2866387623831
76,NA,NA,421.1,0.294447310002661
77,0,0,424.3,0.298543597278452
78,NA,NA,426.5,0.301359794780543
79,NA,NA,428.95,0.304496014726038
80,NA,NA,431.95,0.308336284047034
81,0.531700330212983,0.0112434686355809,435.95,0.313456643141659
82,NA,NA,439.65,0.318192975304154
83,NA,NA,442.3,0.321585213204304
84,0.347435897435897,0.00992224869000993,444.5,0.324401410706308
85,0.203628854375758,0.0153732913513003,449.1,0.330289823665033
86,NA,NA,455.7,0.338738416171024
87,NA,NA,462.85,0.347891058052515
88,NA,NA,468.65,0.355315578739599
89,NA,NA,473.85,0.361972045562501
90,NA,NA,481.55,0.371828736819491
