"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,0.100339169000934,0.00962525839736207,204.9
47,0.205845512949409,0.0155110290875433,217.75
48,0.318462190274814,0.0151399957475354,232
49,0.260490424997842,0.00827259991812721,239.5
50,0.226371499120319,0.0139142960890557,244.6
51,0.444021194695388,0.0182983411777812,249.2
52,0.562012987012987,0.0576550169321914,251.551
53,0.189042568542569,0.0266427911031013,253.021
54,NA,NA,256.825
55,NA,NA,261.895
56,0.270139305139305,0.0206929844693113,265.59
57,0.0352955665024631,0.000163347852170028,269.955
58,NA,NA,278.255
59,NA,NA,286.8
60,NA,NA,291.81
61,NA,NA,296.21
62,0.0933030601451654,0.00502502188786061,301.3
63,0.195711440940864,0.00484009893458754,305.35
64,0.264557365585926,0.0111102021540802,311.1
65,0.2375,0.00854458893101359,319.2
66,NA,NA,327.05
67,0.216307229930095,0.00813036104447416,338.8
68,0.735426295926296,0.0438575553419484,352.8
69,0.529776280650894,0.0480910089893243,365.55
70,0.451915584243758,0.046061223541158,377.45
71,0.683769841269841,0.100633703825702,385.2
72,0.887722222222222,0.083746317140325,390.5
73,0.604227272727273,0.0579328149023148,400.45
74,1.01623865023865,0.0686998055002276,409.2
75,0.929397990897991,0.0537395096655691,415
76,0.85912987012987,0.0659740315801179,421.1
77,0.960642857142857,0.078952649991495,424.3
78,1.02514285714286,0.0870253000250183,426.5
79,1.03098412698413,0.0670012339668936,428.95
80,1.09242857142857,0.0613044410209317,431.95
81,0.959055222555223,0.0533549786259163,435.95
82,1.02581096681097,0.0583334203065511,439.65
83,1.02725396825397,0.0755890201707256,442.3
84,1.01493953105718,0.0403408802863391,444.5
85,0.994456925427514,0.0558338830662705,449.1
86,0.980010920669092,0.021510144030933,455.7
87,1.0152402794957,0.0267220174419513,462.85
88,1.02190181713711,0.0425817993475504,468.65
89,0.986634674388443,0.0359476164568859,473.85
90,1.03209848115271,0.0364468751830915,481.55
93,NA,NA,495.5
94,1.05990476190476,0.0871694503060944,498.75
97,1,0,511.5
98,1.12833333333333,0.190260978658263,517.5
99,NA,NA,525
100,1,0,533.9
