"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
53,0.186258987152407,0.00406204769801923,253.021
54,0.218833295980084,0.0131378907934058,256.825
55,0.203704226063419,0.00916899275241096,261.895
56,0.139575197487339,0.00567844205806731,265.59
57,0.278399996162475,0.0107013253895873,269.955
58,0.192585712982744,0.00709262780870546,278.255
59,0.268401102489452,0.0159594577699549,286.8
60,0.374863902655308,0.026304045102335,291.81
61,0.144086392946448,0.00535271084406074,296.21
62,0.417613537256677,0.0156114225018232,301.3
63,0.430245522451405,0.0465163928630492,305.35
64,0.156516355659385,0.00398861331843954,311.1
65,0.0597913418429237,0.00482655085154831,319.2
66,0.0851244764718623,0.0079568226793155,327.05
67,0.124813006011174,0.00910663325938842,338.8
68,0.0353922577593339,0.00176160055480201,352.8
69,0.0218995167827804,0.00274001212762129,365.55
70,NA,NA,377.45
71,0.0953216049589919,0.00360287548732773,385.2
72,0.0653989113805768,0.00335875272031115,390.5
73,0.0799862295557512,0.00197066415231724,400.45
74,0.0410832365722216,0.00287519832161885,409.2
75,0.0134300710107703,0.000176571380166236,415
76,NA,NA,421.1
77,0.0230245344392855,0.000374479491652765,424.3
78,NA,NA,426.5
79,0.035238617696737,0.000274168021685312,428.95
80,0.0192797533862203,0.000993266960843393,431.95
81,0.0163819906601301,0.00151467086496823,435.95
82,0.0212929205411444,0.000359696772952149,439.65
83,0,0,442.3
84,0.0218418823979645,0.0020899564561885,444.5
85,0.0121703159817215,0.000171059773503904,449.1
86,NA,NA,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
93,NA,NA,495.5
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
