"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.406501643627674
2,NA,NA,0.07035,-0.406350094457529
3,NA,NA,0.4515,-0.405454544594053
4,NA,NA,1.287,-0.403491454181054
5,NA,NA,2.19,-0.401369765799289
6,NA,NA,3.09,-0.399255126216121
7,NA,NA,4.4665,-0.396020902453658
8,NA,NA,6.2895,-0.391737582498001
9,NA,NA,9.438,-0.384339868356257
10,NA,NA,12.725,-0.376616734678693
11,NA,NA,14.9,-0.371506355686064
12,NA,NA,18.21,-0.363729181219122
13,NA,NA,21.735,-0.355446842851771
14,NA,NA,25.425,-0.346776820560833
15,NA,NA,30.86,-0.334006747078123
16,NA,NA,35.805,-0.322387977368456
17,NA,NA,39.455,-0.313811939058988
18,NA,NA,44.5,-0.301958209395639
19,NA,NA,51.9,-0.284571172823035
21,NA,NA,60.4,-0.264599576759914
22,NA,NA,63.8,-0.25661093833468
23,NA,NA,69.05,-0.244275540766278
24,NA,NA,77.85,-0.223599064842102
25,NA,NA,84.95,-0.206916908130532
26,NA,NA,88.05,-0.199633149566335
27,NA,NA,91.85,-0.190704671326357
28,NA,NA,97.2,-0.178134313804277
29,NA,NA,106.75,-0.155695638227473
30,NA,NA,117.2,-0.131142323067504
31,NA,NA,123.585,-0.116140130024799
32,NA,NA,129.185,-0.102982372618503
33,NA,NA,136.2,-0.0864999318675878
34,NA,NA,142.4,-0.0719324147391848
35,NA,NA,147.1,-0.060889296916052
36,NA,NA,152,-0.0493762591855379
37,NA,NA,158.15,-0.0349262220339826
38,NA,NA,163.4,-0.022590824465583
39,NA,NA,166.75,-0.0147196660171758
40,NA,NA,169.55,-0.00814078731402831
41,NA,NA,172.8,-0.000504588819303348
42,NA,NA,179.45,0.0151202481006689
43,NA,NA,188.55,0.0365016038858953
44,NA,NA,196.2,0.0544760403427085
46,NA,NA,204.9,0.0749175563132015
47,NA,NA,217.75,0.10510991036157
48,NA,NA,232,0.138591703761515
49,NA,NA,239.5,0.156213700287803
50,NA,NA,244.6,0.168196657925676
51,NA,NA,249.2,0.179004815795132
53,0.186258987152407,0.00406204769801923,253.021,0.187982635625392
54,0.218833295980084,0.0131378907934058,256.825,0.19697235375173
55,0.203704226063419,0.00916899275241096,261.895,0.20949949245996
56,0.139575197487339,0.00567844205806731,265.59,0.219385131267087
57,0.278399996162475,0.0107013253895873,269.955,0.231941166086594
58,0.192585712982744,0.00709262780870546,278.255,0.256063525418832
59,0.268401102489452,0.0159594577699549,286.8,0.273969350445863
60,0.374863902655308,0.026304045102335,291.81,0.277210828237107
61,0.144086392946448,0.00535271084406074,296.21,0.274078387190868
62,0.417613537256677,0.0156114225018232,301.3,0.263069321067487
63,0.430245522451405,0.0465163928630492,305.35,0.249067599787728
64,0.156516355659385,0.00398861331843954,311.1,0.222974036509882
65,0.0597913418429237,0.00482655085154831,319.2,0.179713962344747
66,0.0851244764718623,0.0079568226793155,327.05,0.13832613517223
67,0.124813006011174,0.00910663325938842,338.8,0.0894779007215415
68,0.0353922577593339,0.00176160055480201,352.8,0.05894652379637
69,0.0218995167827804,0.00274001212762129,365.55,0.0524860271181004
70,NA,NA,377.45,0.0552611547406131
71,0.0953216049589919,0.00360287548732773,385.2,0.0572212838879914
72,0.0653989113805768,0.00335875272031115,390.5,0.0571874401545749
73,0.0799862295557512,0.00197066415231724,400.45,0.0530355539906088
74,0.0410832365722216,0.00287519832161885,409.2,0.0456766126589186
75,0.0134300710107703,0.000176571380166236,415,0.0397051622905361
76,NA,NA,421.1,0.0331693202741171
77,0.0230245344392855,0.000374479491652765,424.3,0.0298126727959889
78,NA,NA,426.5,0.0275828692965578
79,0.035238617696737,0.000274168021685312,428.95,0.0251957409167819
80,0.0192797533862203,0.000993266960843393,431.95,0.0224307015250214
81,0.0163819906601301,0.00151467086496823,435.95,0.0190191839147447
82,0.0212929205411444,0.000359696772952149,439.65,0.016110502408539
83,0,0,442.3,0.0141393279313968
84,0.0218418823979645,0.0020899564561885,444.5,0.0125516333196571
85,0.0121703159817215,0.000171059773503904,449.1,0.00930470394032436
86,NA,NA,455.7,0.00467410638700715
87,NA,NA,462.85,-0.000342374295753664
88,NA,NA,468.65,-0.0044116872971543
89,NA,NA,473.85,-0.00806003688461737
90,NA,NA,481.55,-0.0134624006968219
93,NA,NA,495.5,-0.0232498000708809
94,NA,NA,498.75,-0.0255300185630422
95,NA,NA,502.5,-0.0281610399001573
97,NA,NA,511.5,-0.03447549110922
98,NA,NA,517.5,-0.0386851252485939
99,NA,NA,525,-0.0439471679228241
100,NA,NA,533.9,-0.0501914585629104
