"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.116095823774715,0.0107227527737126,253.021
54,0.116981002983963,0.00728606614049789,256.825
55,0.366307127515677,0.0188518998140209,261.895
56,0.409952940481812,0.0179274804064559,265.59
57,0.50574385973543,0.0207597704190621,269.955
58,0.452907670219372,0.0205232088399515,278.255
59,0.652297843361887,0.0245951440087562,286.8
60,0.568641988509225,0.0294716096053012,291.81
61,0.855103452103452,0.0524978557601023,296.21
62,0.4245591193389,0.0207851803558763,301.3
63,0.553261231029033,0.0327896806178545,305.35
64,0.451035376340275,0.0192343909790313,311.1
65,0.274643101215515,0.0135060751460566,319.2
66,0.10254134223211,0.00237184286033151,327.05
67,0.0967343404027812,0.00633703161027863,338.8
68,NA,NA,352.8
69,NA,NA,365.55
70,NA,NA,377.45
71,NA,NA,385.2
72,NA,NA,390.5
73,NA,NA,400.45
74,NA,NA,409.2
75,NA,NA,415
81,NA,NA,435.95
83,NA,NA,442.3
85,NA,NA,449.1
87,NA,NA,462.85
94,NA,NA,498.75
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
