"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-4.85704756922141
2,NA,NA,0.07035,-4.85577340399527
3,NA,NA,0.4515,-4.84824397646165
4,NA,NA,1.287,-4.8317390920215
5,NA,NA,2.19,-4.81390077885639
6,NA,NA,3.09,-4.79612172919016
7,NA,NA,4.4665,-4.76892966045061
8,NA,NA,6.2895,-4.73291720762669
9,NA,NA,9.438,-4.67072016554427
10,NA,NA,12.725,-4.60578712526329
11,NA,NA,14.9,-4.56282108856987
12,NA,NA,18.21,-4.49743369479737
13,NA,NA,21.735,-4.42779908360457
14,NA,NA,25.425,-4.35490497997302
15,NA,NA,30.86,-4.24753927448854
16,NA,NA,35.805,-4.14985327382243
17,NA,NA,39.455,-4.07774935017601
18,NA,NA,44.5,-3.97808789954693
19,NA,NA,51.9,-3.83190460229121
20,NA,NA,57.6,-3.71930395440506
21,NA,NA,60.4,-3.66399135544341
22,NA,NA,63.8,-3.5968260567043
23,NA,NA,69.05,-3.49311493365125
24,NA,NA,77.85,-3.31927533691469
25,NA,NA,84.95,-3.17901838954773
26,NA,NA,88.05,-3.11777944069735
27,NA,NA,91.85,-3.04271234210658
28,NA,NA,97.2,-2.93702576909062
29,NA,NA,106.75,-2.74837029763222
30,NA,NA,117.2,-2.54193577650757
31,NA,NA,123.585,-2.41580329637544
32,NA,NA,129.185,-2.30517809845218
33,NA,NA,136.2,-2.16660028355369
34,NA,NA,142.4,-2.04412238585295
35,NA,NA,147.1,-1.95127623759593
36,NA,NA,152,-1.85447918941308
37,NA,NA,158.15,-1.73298901669379
38,NA,NA,163.4,-1.62927789364075
39,NA,NA,166.75,-1.5631003198831
40,NA,NA,169.55,-1.50778772092147
41,NA,NA,172.8,-1.44358559712672
42,NA,NA,179.45,-1.31221817459286
43,NA,NA,188.55,-1.13245222796758
44,NA,NA,196.2,-0.981330305804568
45,NA,NA,200.4,-0.898361407362129
46,NA,NA,204.9,-0.809466159030945
47,NA,NA,217.75,-0.555620838796345
48,NA,NA,232,-0.274119219080931
49,NA,NA,239.5,-0.125960471862293
50,NA,NA,244.6,-0.0252125237536183
51,NA,NA,249.2,0.0656581745404803
52,NA,NA,251.551,0.112101003168616
53,0.116095823774715,0.0107227527737126,253.021,0.141140117623468
54,0.116981002983963,0.00728606614049789,256.825,0.216081938693066
55,0.366307127515677,0.0188518998140209,261.895,0.313226723657199
56,0.409952940481812,0.0179274804064559,265.59,0.378858601225986
57,0.50574385973543,0.0207597704190621,269.955,0.447310368479695
58,0.452907670219372,0.0205232088399515,278.255,0.546675989338599
59,0.652297843361887,0.0245951440087562,286.8,0.606248926456991
60,0.568641988509225,0.0294716096053012,291.81,0.613937609067623
61,0.855103452103452,0.0524978557601023,296.21,0.600241289585706
62,0.4245591193389,0.0207851803558763,301.3,0.561559383234466
63,0.553261231029033,0.0327896806178545,305.35,0.516913212163641
64,0.451035376340275,0.0192343909790313,311.1,0.439316539138598
65,0.274643101215515,0.0135060751460566,319.2,0.316179652018874
66,0.10254134223211,0.00237184286033151,327.05,0.199703118711004
67,0.0967343404027812,0.00633703161027863,338.8,0.0494127498492289
68,NA,NA,352.8,-0.121427927923017
69,NA,NA,365.55,-0.27701497375131
70,NA,NA,377.45,-0.422229549857719
71,NA,NA,385.2,-0.516802067910214
72,NA,NA,390.5,-0.581477467352564
73,NA,NA,400.45,-0.702896377626408
74,NA,NA,409.2,-0.809671801234063
75,NA,NA,415,-0.880448653453991
81,NA,NA,435.95,-1.13609952483461
83,NA,NA,442.3,-1.21358797510988
85,NA,NA,449.1,-1.29656773288497
87,NA,NA,462.85,-1.46435768426842
94,NA,NA,498.75,-1.90244199369869
98,NA,NA,517.5,-2.13124647285796
99,NA,NA,525,-2.22276826452169
100,NA,NA,533.9,-2.33137412396263
