"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,0.11244178044178,0.0112882969929337,217.75
48,0.134796037296037,0.0146248620278916,232
49,0.155904761904762,0.0156045362192307,239.5
50,0.168643023643024,0.0203605972627437,244.6
51,0.585166666666667,0.0835284970667031,249.2
52,0,0,251.551
53,0.0622879134109784,0.00169878031911176,253.021
54,0.0887367104859365,0.0102472013930723,256.825
55,NA,NA,261.895
56,0.248461538461538,0.00146080953482698,265.59
57,NA,NA,269.955
58,0.160922821760283,0.0107245137390264,278.255
59,0.0817078236827862,0.00360597300883465,286.8
60,NA,NA,291.81
61,NA,NA,296.21
62,0.152945165945166,0.014876642958124,301.3
63,0.137738095238095,0.00406443472448871,305.35
64,0.100374902874903,0.00796731019989882,311.1
65,0.0945710123210123,0.00839066433050803,319.2
66,NA,NA,327.05
67,NA,NA,338.8
68,0.738333333333333,0.0491685988320911,352.8
69,1,0,365.55
70,NA,NA,377.45
71,1.3,0.181940161103101,385.2
72,NA,NA,390.5
73,NA,NA,400.45
74,0.819798631858263,0.0243984893089949,409.2
75,0.916295739348371,0.0117852226253876,415
76,0.979912087912088,0.0413814000597998,421.1
77,1.00420657120657,0.0539231372139415,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,1,0,431.95
81,0.999287567020381,0.0233450295626493,435.95
82,1,0,439.65
83,1,0,442.3
84,NA,NA,444.5
85,0.974167731892702,0.0294941448028357,449.1
86,1.00785714285714,0.0687555735114535,455.7
87,1.01483206370526,0.0308210123177147,462.85
89,NA,NA,473.85
90,NA,NA,481.55
