"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.69342856770539
2,NA,NA,0.07035,-0.693188605149453
3,NA,NA,0.4515,-0.691770593858594
4,NA,NA,1.287,-0.688662241678548
7,NA,NA,4.4665,-0.676833389786059
8,NA,NA,6.2895,-0.670051192270686
9,NA,NA,9.438,-0.658337671218913
10,NA,NA,12.725,-0.646108881732792
11,NA,NA,14.9,-0.63801712112065
12,NA,NA,18.21,-0.625702763591258
13,NA,NA,21.735,-0.612588530874968
14,NA,NA,25.425,-0.598860440456983
15,NA,NA,30.86,-0.57864033980085
16,NA,NA,35.805,-0.560243210500991
17,NA,NA,39.455,-0.546663934071302
18,NA,NA,44.5,-0.527894769800726
19,NA,NA,51.9,-0.500364181970754
20,NA,NA,57.6,-0.479158188642274
21,NA,NA,60.4,-0.468741209463321
22,NA,NA,63.8,-0.456092020460446
23,NA,NA,69.05,-0.436560184499992
24,NA,NA,77.85,-0.403821107080552
25,NA,NA,84.95,-0.3774066241626
26,NA,NA,88.05,-0.365873540071707
27,NA,NA,91.85,-0.351736211185995
28,NA,NA,97.2,-0.3318323402549
29,NA,NA,106.75,-0.29630300055545
30,NA,NA,117.2,-0.257425346119883
31,NA,NA,123.585,-0.233670913242245
32,NA,NA,129.185,-0.212836954884456
33,NA,NA,136.2,-0.186738701691589
34,NA,NA,142.4,-0.163672533509727
35,NA,NA,147.1,-0.146186889887968
36,NA,NA,152,-0.127957176324889
37,NA,NA,158.15,-0.10507702562839
38,NA,NA,163.4,-0.0855451896679242
39,NA,NA,166.75,-0.0730820181503021
40,NA,NA,169.55,-0.0626650389713923
41,NA,NA,172.8,-0.0505739024244447
42,NA,NA,179.45,-0.0258335768745527
43,NA,NA,188.55,0.00802160545690594
44,NA,NA,196.2,0.0364822807135494
45,NA,NA,200.4,0.0521077494819025
46,NA,NA,204.9,0.0688493231622843
47,0.11244178044178,0.0112882969929337,217.75,0.116655816894061
48,0.134796037296037,0.0146248620278916,232,0.164311155584145
49,0.155904761904762,0.0156045362192307,239.5,0.17900479011529
50,0.168643023643024,0.0203605972627437,244.6,0.183180081896044
51,0.585166666666667,0.0835284970667031,249.2,0.183167509366206
52,0,0,251.551,0.182011268205874
53,0.0622879134109784,0.00169878031911176,253.021,0.180962105255492
54,0.0887367104859365,0.0102472013930723,256.825,0.177286619151094
55,NA,NA,261.895,0.170693137032158
56,0.248461538461538,0.00146080953482698,265.59,0.164926586989911
57,NA,NA,269.955,0.157293837941346
58,0.160922821760283,0.0107245137390264,278.255,0.140636120400808
59,0.0817078236827862,0.00360597300883465,286.8,0.121764306503194
60,NA,NA,291.81,0.111908997633382
61,NA,NA,296.21,0.106168329727623
62,0.152945165945166,0.014876642958124,301.3,0.105432124173453
63,0.137738095238095,0.00406443472448871,305.35,0.111209137172998
64,0.100374902874903,0.00796731019989882,311.1,0.132474745636171
65,0.0945710123210123,0.00839066433050803,319.2,0.194815363294612
66,NA,NA,327.05,0.293143535689121
67,NA,NA,338.8,0.490171200399853
68,0.738333333333333,0.0491685988320911,352.8,0.75586990338776
69,1,0,365.55,0.971478769302757
70,NA,NA,377.45,1.09328143841945
71,1.3,0.181940161103101,385.2,1.1191757538606
72,NA,NA,390.5,1.11127090919332
73,NA,NA,400.45,1.05952873832515
74,0.819798631858263,0.0243984893089949,409.2,1.0028845135469
75,0.916295739348371,0.0117852226253876,415,0.974217012430402
76,0.979912087912088,0.0413814000597998,421.1,0.959129380345331
77,1.00420657120657,0.0539231372139415,424.3,0.958056878427762
78,NA,NA,426.5,0.959812505394572
79,NA,NA,428.95,0.963686973697002
80,1,0,431.95,0.970430013266602
81,0.999287567020381,0.0233450295626493,435.95,0.981218427242662
82,1,0,439.65,0.991129932478472
83,1,0,442.3,0.997259489814501
84,NA,NA,444.5,1.00142450035316
85,0.974167731892702,0.0294941448028357,449.1,1.00716664532074
86,1.00785714285714,0.0687555735114535,455.7,1.00866861182616
87,1.01483206370526,0.0308210123177147,462.85,1.00486606137708
89,NA,NA,473.85,0.9974741190773
90,NA,NA,481.55,0.992299759467458
