"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.181941360724956,0.00998558161901404,253.021
54,0.301070312953542,0.010378052502803,256.825
55,0.385918227624781,0.012296882469173,261.895
56,0.293799133902938,0.00782332318811148,265.59
57,0.433648810870129,0.0105149046941935,269.955
58,0.352522555801908,0.0125921910584658,278.255
59,0.389430781197802,0.0128305364136261,286.8
60,0.627263900483706,0.0213360982040829,291.81
61,0.668849639815922,0.01292724159185,296.21
62,0.41540706544671,0.0139696939378054,301.3
63,0.765460000607968,0.0337321397938245,305.35
64,0.440600636001512,0.00547725433410441,311.1
65,0.617613175271933,0.0039721396743436,319.2
66,0.577595567676765,0.0116000128619539,327.05
67,0.467348500200436,0.0161421778117164,338.8
68,0.636679203113299,0.0100168733270852,352.8
69,0.525652192095244,0.0033659238219348,365.55
70,0.451916005316331,0.0232304935856967,377.45
71,0.44512566412734,0.0151910019099635,385.2
72,0.559477698256045,0.0116276481980886,390.5
73,0.594701574301068,0.00634936347443498,400.45
74,0.55141173006134,0.00354368677120007,409.2
75,0.439467307052361,0.00942277917275187,415
76,0.406906491936358,0.00731288361450565,421.1
77,NA,NA,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,0.435880291373993,0.00829440575283194,431.95
81,0.472850420400891,0.0077914113524078,435.95
82,0.819722671818312,0.0162191687893102,439.65
83,NA,NA,442.3
84,0.269925413403345,0.00814960527257986,444.5
85,0.10144080367911,0.0075808670834537,449.1
86,0.0983472720613318,0.0102051214013653,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
