"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.472159335973629
2,NA,NA,0.07035,-0.47197007420235
3,NA,NA,0.4515,-0.470851669177063
4,NA,NA,1.287,-0.468400069023324
5,NA,NA,2.19,-0.465750404225225
6,NA,NA,3.09,-0.463109542300121
7,NA,NA,4.4665,-0.459070490700358
8,NA,NA,6.2895,-0.453721278156599
9,NA,NA,9.438,-0.44448266285547
10,NA,NA,12.725,-0.43483764824691
11,NA,NA,14.9,-0.428455565261375
12,NA,NA,18.21,-0.418743061959265
13,NA,NA,21.735,-0.408399686086168
14,NA,NA,25.425,-0.397572152193438
15,NA,NA,30.86,-0.381624280457177
16,NA,NA,35.805,-0.367114211324536
17,NA,NA,39.455,-0.356404049072913
18,NA,NA,44.5,-0.341600550837488
19,NA,NA,51.9,-0.319886797231508
20,NA,NA,57.6,-0.303161338372861
21,NA,NA,60.4,-0.294945323494902
22,NA,NA,63.8,-0.284968734000266
23,NA,NA,69.05,-0.269563706104135
24,NA,NA,77.85,-0.24374194505919
25,NA,NA,84.95,-0.222908478761566
26,NA,NA,88.05,-0.213812176575278
27,NA,NA,91.85,-0.202661870669488
28,NA,NA,97.2,-0.186963413670566
29,NA,NA,106.75,-0.158940934354748
30,NA,NA,117.2,-0.128277593113875
31,NA,NA,123.585,-0.109542144901142
32,NA,NA,129.185,-0.0931101151452618
33,NA,NA,136.2,-0.0725260635850073
34,NA,NA,142.4,-0.0543334592124369
35,NA,NA,147.1,-0.0405422913816035
36,NA,NA,152,-0.0261642653452121
37,NA,NA,158.15,-0.0081183755240273
38,NA,NA,163.4,0.00728665237211118
39,NA,NA,166.75,0.0171165273153527
40,NA,NA,169.55,0.0253325421932923
41,0.0391552081705344,0.0010250036697916,172.8,0.0348689880337543
42,0.0704479890594442,0.00581144737892683,179.45,0.0554628939291517
43,0.0712116848268588,0.007609286073155,188.55,0.0950220221172312
44,0.0717175009373152,0.00728242133079482,196.2,0.146181632676939
45,0.216333832833833,0.0129006008378821,200.4,0.180965861389721
46,0.299758372260694,0.0228101972222842,204.9,0.220982119161051
47,0.25861444559945,0.011848255557205,217.75,0.317071389062831
48,0.269289580859902,0.010273187143489,232,0.320721788721873
49,0.419135047185357,0.0343226912280385,239.5,0.270445660039895
50,0.260643115913137,0.0186796072235545,244.6,0.222458400328251
51,0.181760645701048,0.0132432046359155,249.2,0.176469049485734
52,0.0854808524808525,0.00395138320200296,251.551,0.154032302260464
53,0.123448956517169,0.00668662058920782,253.021,0.140831813103812
54,0.0574960398802912,0.00604190550682206,256.825,0.110652465961689
55,0.0648940057419702,0.00275742643184435,261.895,0.081102819305991
56,0.0772486297028262,0.00352334206747461,265.59,0.0677995360764069
57,0.0577194216378466,0.00389657286665107,269.955,0.0603424433292191
58,0.0826275803075201,0.00386192300519903,278.255,0.0636339036172083
59,0.0839424899812955,0.00485217317092446,286.8,0.0761868494227944
60,0.122636227894589,0.00513386176547535,291.81,0.0819671552693186
61,0.0908863409227733,0.00471066034048908,296.21,0.0844848061656477
62,0.0346844349407639,0.00177991253686113,301.3,0.0845018559822147
63,0.072909048467872,0.00300314713866558,305.35,0.0829767039980218
64,0.0866670354429095,0.00641005275193777,311.1,0.0798412798460735
65,0.0756303911900496,0.00604853432911109,319.2,0.0757555468641164
66,0.0911562877233923,0.00879903897699312,327.05,0.0729447174549747
67,0.0609692973009452,0.00457329578546383,338.8,0.0678581103457502
68,0.0609581923534385,0.00659412742408322,352.8,0.054619390015269
69,0.0214984795159674,0.00178586076708837,365.55,0.0379669931010593
70,0.0321458442238127,0.000915301976430032,377.45,0.0250225809337414
71,0.0294760940564262,0.00083600572563798,385.2,0.0197258104559647
72,0.0138037710971304,0.000287289733440161,390.5,0.0174199423989856
73,0.0094692851035038,0.000124581073600557,400.45,0.0148190920185645
74,0.00959472264824614,0.00010388713916443,409.2,0.013232521713813
75,0.0172037952600808,0.000346510571479003,415,0.0122462031516352
76,NA,NA,421.1,0.0112121227405939
77,NA,NA,424.3,0.0106696543282467
78,NA,NA,426.5,0.0102967072947564
79,NA,NA,428.95,0.00988137991655619
80,NA,NA,431.95,0.0093728157799802
81,NA,NA,435.95,0.00869473026455245
82,NA,NA,439.65,0.00806750116279156
83,NA,NA,442.3,0.00761826950879207
84,NA,NA,444.5,0.00724532247531809
85,NA,NA,449.1,0.006465524132552
86,NA,NA,455.7,0.00534668303209737
87,NA,NA,462.85,0.00413460517324188
88,NA,NA,468.65,0.00315138117585931
89,NA,NA,473.85,0.00226987000579054
90,NA,NA,481.55,0.000964555388624722
91,NA,NA,487.45,-3.56207466261638e-05
92,NA,NA,491.75,-0.000764562675737712
93,NA,NA,495.5,-0.0014002678464709
94,NA,NA,498.75,-0.0019512123277462
95,NA,NA,502.5,-0.00258691749846546
96,NA,NA,506.75,-0.00330738335862829
97,NA,NA,511.5,-0.00411260990822571
98,NA,NA,517.5,-0.00512973818133278
99,NA,NA,525,-0.00640114852278506
