"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.0890441279292705,0.00374613838934567,253.021
54,0.202104148211631,0.0110606134058257,256.825
55,NA,NA,261.895
56,0.0547032363685746,0.0029977041175911,265.59
57,0.189325589385607,0.00327392630402833,269.955
58,0.108057753484113,0.00632087962490271,278.255
59,NA,NA,286.8
60,NA,NA,291.81
61,0.160316887341011,0.00993056538176004,296.21
62,0.041578375409176,0.00405477806378237,301.3
63,NA,NA,305.35
64,NA,NA,311.1
65,NA,NA,319.2
66,0.0978814457905912,0.0053579855853497,327.05
67,0.0949103471048551,0.00843327024091671,338.8
68,0.270140189545587,0.0143448945406475,352.8
69,0.121201641641236,0.0065012216421079,365.55
70,0.166240362307265,0.0140159023306376,377.45
71,0.267131072306928,0.0123926994246785,385.2
72,0.294707967931584,0.0101000510819978,390.5
73,0.35283444989578,0.0131718188862432,400.45
74,0.236233159814971,0.00670344785744652,409.2
75,0.253839627717417,0.0103011301727649,415
76,0.330174350121368,0.0088459327047795,421.1
77,0.3674339921741,0.0101173914476078,424.3
78,NA,NA,426.5
79,0.274382473899906,0.0110139178395225,428.95
80,0.321933653751738,0.0117522673112297,431.95
81,0.272261461528711,0.0108921071583147,435.95
82,0.473825558160798,0.0184591034416521,439.65
83,0.44128806461856,0.0185910746141437,442.3
84,0.263726634256427,0.00480535852617102,444.5
85,0.293171103610146,0.00906890188697076,449.1
86,NA,NA,455.7
87,0.068263743791012,0.003838575478439,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
