"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","93","94","95","96","97","98","99"
"1",85,89,22,NA,11,73,NA,63,53,45,NA,NA,NA,55,88,264,69,195,212,NA,NA,45,87,75,22,NA,43,NA,65,35,NA,32,NA,19,NA,NA,35,NA,25,18,14,20,22,19,15,16,30,59,NA,37,18,13,21,35,30,32,30,36,31,16,39,23,27,68,44,NA,52,58,42,34,68,69,138,56,95,79,55,39,74,52,68,46,22,54,128,118,133,28,65,85,NA,22,80,67,NA,122,64,NA
"2",81,86,20,NA,11,69,NA,63,56,50,NA,NA,NA,56,92,264,68,200,212,NA,NA,49,93,67,22,NA,43,NA,70,35,NA,33,NA,19,NA,NA,37,NA,26,18,10,21,18,17,14,17,31,59,NA,32,17,15,20,35,32,31,27,29,28,17,37,23,24,71,40,NA,45,56,41,40,54,71,127,56,100,87,56,41,71,50,77,47,24,57,122,118,121,29,72,82,NA,22,80,65,NA,125,62,NA
"3",84,88,20,NA,11,68,NA,63,53,50,NA,NA,NA,57,92,264,68,200,211,NA,NA,52,89,70,24,NA,43,NA,66,38,NA,30,NA,19,NA,NA,36,NA,27,18,11,22,19,14,15,14,30,58,NA,37,19,11,28,39,30,34,33,31,27,20,39,25,26,69,40,NA,47,62,45,42,63,73,132,57,94,83,43,38,67,51,66,50,28,56,119,120,134,33,69,79,NA,20,83,66,NA,117,60,NA
"4",86,86,20,NA,11,68,NA,63,51,46,NA,NA,NA,56,86,264,69,198,212,NA,NA,46,88,78,22,NA,44,NA,70,34,NA,31,NA,19,NA,NA,39,NA,26,17,9,16,18,18,12,15,31,59,NA,37,17,12,29,35,32,31,33,35,31,18,39,26,29,70,37,NA,52,61,40,34,59,75,126,57,89,82,55,37,73,53,67,52,25,54,120,116,133,29,66,79,NA,23,73,63,NA,124,64,NA
"5",84,85,21,NA,11,67,NA,63,56,48,NA,NA,NA,62,85,264,69,194,212,NA,NA,53,89,69,25,NA,44,NA,64,38,NA,31,NA,19,NA,NA,36,NA,25,21,11,21,19,18,11,19,36,58,NA,37,18,16,25,39,29,31,30,34,30,16,45,23,27,72,40,NA,44,58,42,41,59,72,132,53,98,84,53,38,73,44,71,45,23,57,130,114,128,30,67,71,NA,21,85,65,NA,115,66,NA
"6",82,89,20,NA,11,68,NA,63,50,46,NA,NA,NA,52,88,264,69,201,212,NA,NA,49,87,69,21,NA,46,NA,63,35,NA,31,NA,19,NA,NA,37,NA,25,18,10,23,21,19,12,16,30,58,NA,38,17,11,24,39,30,31,35,28,36,16,37,22,27,71,36,NA,53,63,45,31,54,73,129,60,100,77,54,39,71,55,69,46,27,58,122,121,154,31,67,74,NA,18,90,62,NA,123,67,NA
"7",86,85,20,NA,11,70,NA,63,49,44,NA,NA,NA,52,88,264,67,198,214,NA,NA,46,90,71,24,NA,44,NA,75,36,NA,31,NA,19,NA,NA,35,NA,25,19,12,20,17,19,12,16,31,58,NA,38,17,18,28,42,32,33,32,29,31,19,40,26,26,69,37,NA,48,62,42,35,62,74,134,54,90,82,51,37,74,48,69,50,24,56,126,124,135,29,69,74,NA,20,85,69,NA,123,64,NA
"8",82,85,21,NA,11,68,NA,63,52,45,NA,NA,NA,56,87,264,70,197,210,NA,NA,46,87,71,27,NA,43,NA,65,34,NA,31,NA,19,NA,NA,37,NA,25,16,12,17,21,17,12,14,33,58,NA,41,17,16,25,41,31,31,30,30,29,19,37,23,23,74,36,NA,49,63,43,36,62,67,129,54,89,82,62,41,69,54,66,44,28,54,122,114,130,26,70,74,NA,17,75,69,NA,122,64,NA
"9",82,85,21,NA,11,71,NA,63,54,51,NA,NA,NA,58,83,264,67,198,210,NA,NA,47,83,67,24,NA,45,NA,67,35,NA,32,NA,19,NA,NA,37,NA,25,20,9,16,19,16,13,15,32,58,NA,39,17,15,23,42,35,32,30,34,32,14,37,28,25,67,40,NA,43,64,41,40,58,70,131,53,99,82,50,38,70,50,68,43,24,54,127,118,142,29,68,79,NA,22,79,62,NA,118,61,NA
"10",82,89,21,NA,11,68,NA,63,51,48,NA,NA,NA,59,88,264,72,199,212,NA,NA,44,87,72,22,NA,43,NA,69,37,NA,32,NA,19,NA,NA,37,NA,25,18,9,18,20,16,13,16,31,58,NA,34,16,10,32,40,31,28,34,28,29,20,42,26,26,69,37,NA,48,60,50,36,56,66,133,54,95,81,51,36,72,49,71,44,31,55,126,117,137,30,70,83,NA,18,77,65,NA,113,62,NA
"11",84,89,21,NA,11,68,NA,63,50,50,NA,NA,NA,58,88,264,67,202,211,NA,NA,58,86,73,21,NA,43,NA,62,33,NA,31,NA,19,NA,NA,38,NA,25,16,12,18,20,17,12,16,30,58,NA,34,15,15,21,41,31,28,31,30,32,17,38,25,27,76,38,NA,48,55,44,42,56,73,126,57,91,82,56,40,73,55,66,47,26,55,130,121,127,28,68,82,NA,20,78,63,NA,113,61,NA
"12",87,88,21,NA,11,68,NA,63,52,53,NA,NA,NA,52,91,264,66,196,212,NA,NA,48,90,71,23,NA,43,NA,73,35,NA,31,NA,19,NA,NA,37,NA,25,20,9,19,17,18,13,17,32,58,NA,41,19,15,26,44,31,35,30,25,32,17,41,27,26,70,36,NA,49,64,43,37,55,70,130,59,92,76,59,39,70,45,67,51,23,57,117,118,133,32,67,79,NA,21,79,63,NA,119,60,NA
"13",83,86,20,NA,11,69,NA,63,53,49,NA,NA,NA,56,82,264,66,196,210,NA,NA,45,81,66,26,NA,43,NA,65,36,NA,33,NA,19,NA,NA,37,NA,25,18,12,17,18,17,14,14,28,58,NA,39,17,11,20,43,29,32,34,39,31,22,36,26,25,68,38,NA,50,64,44,42,56,69,131,60,93,85,53,39,72,52,68,47,23,55,126,109,124,29,65,84,NA,18,79,62,NA,117,68,NA
"14",81,88,21,NA,11,70,NA,63,54,45,NA,NA,NA,57,89,264,68,199,214,NA,NA,48,87,66,20,NA,43,NA,70,35,NA,31,NA,19,NA,NA,39,NA,25,18,11,20,19,19,14,15,32,58,NA,40,22,12,32,42,34,32,33,27,30,19,39,22,25,73,35,NA,52,58,49,41,62,71,131,60,92,88,51,38,70,57,62,45,26,56,126,129,129,29,65,86,NA,22,82,66,NA,121,63,NA
"15",84,88,20,NA,11,67,NA,63,57,48,NA,NA,NA,57,88,264,67,195,210,NA,NA,46,90,69,21,NA,44,NA,66,35,NA,32,NA,19,NA,NA,34,NA,25,18,11,18,17,17,12,16,31,58,NA,37,16,15,27,38,32,35,31,34,30,23,38,26,25,68,39,NA,46,63,39,43,54,69,132,56,87,78,47,40,74,50,70,47,24,55,122,117,124,32,66,79,NA,22,79,64,NA,118,64,NA
"16",82,89,20,NA,11,69,NA,63,53,42,NA,NA,NA,55,85,264,66,200,213,NA,NA,44,90,72,23,NA,43,NA,63,35,NA,33,NA,19,NA,NA,35,NA,25,19,9,18,17,17,14,15,32,58,NA,38,14,14,21,44,27,38,33,30,32,22,42,25,26,73,37,NA,51,64,39,37,65,69,130,51,95,87,52,36,75,53,64,46,27,59,122,110,138,31,63,74,NA,21,78,65,NA,124,67,NA
"17",84,89,20,NA,11,68,NA,63,53,46,NA,NA,NA,53,88,264,66,200,211,NA,NA,45,87,70,22,NA,43,NA,68,38,NA,31,NA,19,NA,NA,40,NA,25,17,11,18,16,17,12,16,31,58,NA,36,19,16,32,33,33,33,36,30,31,20,38,25,26,69,41,NA,54,61,39,39,67,70,126,57,93,83,45,40,72,51,67,46,24,53,121,113,123,31,71,87,NA,19,80,71,NA,117,66,NA
"18",84,89,22,NA,11,69,NA,63,57,47,NA,NA,NA,57,93,264,68,197,214,NA,NA,46,86,68,23,NA,43,NA,67,37,NA,31,NA,19,NA,NA,38,NA,26,18,12,18,19,18,13,15,32,58,NA,39,16,14,24,37,31,30,31,30,29,20,37,24,28,75,38,NA,42,60,42,36,61,68,130,68,94,76,59,40,69,48,76,44,29,54,118,127,136,28,69,80,NA,17,80,60,NA,115,65,NA
"19",82,87,21,NA,11,68,NA,63,48,42,NA,NA,NA,58,90,264,66,201,213,NA,NA,50,90,66,23,NA,43,NA,62,38,NA,30,NA,19,NA,NA,37,NA,25,17,13,16,14,18,15,18,30,59,NA,34,16,14,27,41,29,32,34,30,30,22,44,27,27,74,45,NA,48,58,38,35,61,76,125,50,91,80,50,40,70,47,71,47,25,52,122,125,131,27,71,70,NA,19,78,69,NA,127,66,NA
"20",83,85,20,NA,11,68,NA,63,64,49,NA,NA,NA,54,86,264,65,198,212,NA,NA,53,89,67,27,NA,43,NA,68,34,NA,34,NA,19,NA,NA,37,NA,25,17,12,17,19,18,14,19,31,58,NA,37,17,12,25,49,29,30,28,35,29,20,39,26,29,68,34,NA,47,65,45,34,67,74,139,55,95,83,51,37,71,49,64,45,28,56,124,124,127,28,66,84,NA,20,77,65,NA,120,63,NA
"21",82,89,21,NA,11,69,NA,63,56,53,NA,NA,NA,58,90,264,69,197,213,NA,NA,47,91,68,21,NA,44,NA,71,36,NA,32,NA,19,NA,NA,35,NA,25,20,10,17,19,19,15,14,33,58,NA,39,16,15,32,41,30,31,31,33,31,19,41,24,26,66,38,NA,47,59,40,45,61,69,131,55,88,83,49,42,76,51,74,49,24,57,120,121,128,28,71,83,NA,17,80,63,NA,122,64,NA
"22",81,86,20,NA,11,69,NA,63,58,51,NA,NA,NA,55,91,264,69,198,210,NA,NA,41,87,71,23,NA,43,NA,66,34,NA,32,NA,19,NA,NA,36,NA,25,19,11,18,20,17,13,18,31,58,NA,37,17,12,31,46,31,32,32,28,29,21,43,24,25,69,38,NA,53,57,39,36,60,74,125,59,94,80,56,41,76,47,65,46,26,55,123,121,126,29,66,70,NA,22,76,62,NA,115,65,NA
"23",84,86,20,NA,11,68,NA,63,48,42,NA,NA,NA,56,89,264,67,198,212,NA,NA,45,88,68,25,NA,43,NA,78,40,NA,34,NA,19,NA,NA,39,NA,25,16,12,16,18,20,13,17,31,59,NA,42,19,11,26,48,31,32,32,36,30,19,40,25,26,71,42,NA,48,62,39,42,69,68,127,56,96,86,51,38,69,46,73,47,28,59,118,107,134,29,69,70,NA,20,78,64,NA,115,64,NA
"24",83,88,22,NA,11,70,NA,63,56,45,NA,NA,NA,54,88,265,69,193,212,NA,NA,49,88,72,25,NA,43,NA,66,36,NA,34,NA,19,NA,NA,36,NA,25,20,10,24,19,16,12,18,30,60,NA,37,19,16,24,46,35,31,33,33,28,17,42,26,27,70,38,NA,47,66,42,42,60,69,132,57,90,83,63,40,75,47,68,49,28,57,113,110,130,30,67,84,NA,22,72,70,NA,113,64,NA
"25",82,85,20,NA,11,73,NA,63,56,47,NA,NA,NA,55,86,264,68,196,210,NA,NA,44,86,71,27,NA,43,NA,67,35,NA,32,NA,19,NA,NA,36,NA,25,21,10,20,16,18,16,15,32,59,NA,34,15,16,28,36,29,33,30,32,30,24,38,21,28,71,38,NA,51,58,43,41,65,73,125,51,95,75,51,39,71,49,65,46,28,56,114,116,123,30,67,83,NA,23,75,67,NA,117,63,NA
