"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1",NA,NA,13,17,13,10,17,8,9,9,5,15,2,24,11,8,10,6,19,NA,NA,7,19,19,8,2,5,11,15,17,22,23,17,24,14,28,29,29,29,44,26,14,21,15,14,13,48,47,15,25,13,18,56,57,92,101,89,101,85,73,69,28,14,30,36,32,45,46,48,30,35,77,99,100,55,37,47,39,48,52,44,44,51,22,32,34,41,14,33,18,5,5,4,1,NA,3,NA,1,NA
"2",NA,NA,9,18,14,10,17,9,8,9,4,12,1,23,11,13,11,7,14,NA,NA,6,13,14,9,3,6,12,18,15,18,24,15,25,14,29,27,38,22,44,28,16,19,21,12,16,50,41,16,25,17,15,55,70,104,100,89,96,75,76,61,27,18,31,34,28,36,49,51,29,34,72,109,108,50,41,51,42,43,47,46,45,51,23,31,32,32,12,36,15,4,5,3,1,NA,4,NA,1,NA
"3",NA,NA,13,16,13,10,17,8,9,7,6,11,1,26,11,10,11,6,15,NA,NA,5,13,15,8,3,5,14,16,16,20,24,20,28,10,33,29,31,31,50,29,16,21,15,12,13,50,45,19,20,13,13,53,61,86,92,95,97,84,79,67,26,13,28,35,34,39,51,53,35,35,72,103,104,59,43,51,44,50,48,44,43,45,22,32,32,34,15,31,17,5,5,6,1,NA,3,NA,1,NA
"4",NA,NA,12,16,17,11,16,9,12,7,5,13,1,22,11,13,11,5,16,NA,NA,7,15,19,7,2,6,15,17,15,18,24,15,29,15,28,28,37,21,46,25,14,22,17,14,13,45,49,14,32,16,13,60,56,93,108,90,102,81,70,72,28,11,31,34,32,39,49,56,32,37,77,102,107,61,44,44,41,47,51,47,49,40,22,28,32,38,14,33,16,4,5,4,1,NA,4,NA,1,NA
"5",NA,NA,10,14,12,10,16,9,10,8,4,12,2,22,12,10,13,7,15,NA,NA,5,14,14,8,4,5,12,18,17,19,21,19,27,13,32,26,35,23,46,30,18,23,15,12,13,55,39,16,24,17,15,54,58,101,101,86,97,87,81,65,27,13,31,30,32,33,58,58,23,40,78,103,104,55,37,51,42,44,44,48,45,47,30,33,28,33,17,28,14,4,5,4,1,NA,4,NA,1,NA
"6",NA,NA,12,16,14,9,18,11,11,6,4,11,3,23,12,10,9,5,17,NA,NA,7,16,21,8,2,6,16,17,13,21,19,15,30,20,33,31,37,25,42,26,13,29,16,12,15,46,46,16,25,16,12,58,57,89,101,89,101,79,84,60,35,12,23,32,35,39,44,50,31,33,77,110,106,63,37,42,39,49,57,55,45,50,27,31,31,43,15,27,20,4,5,4,1,NA,3,NA,1,NA
"7",NA,NA,11,20,12,10,17,8,11,9,5,11,1,23,12,12,12,6,17,NA,NA,5,18,17,8,2,5,13,20,17,20,22,16,25,13,30,28,32,28,40,25,16,20,16,14,13,44,40,18,25,11,9,64,57,90,101,93,97,81,83,65,29,14,30,27,27,41,44,56,33,34,81,111,104,59,42,44,38,48,47,41,43,45,25,30,29,31,14,33,18,4,5,5,1,NA,5,NA,1,NA
"8",NA,NA,9,14,12,10,17,9,9,6,5,13,1,22,11,12,11,5,17,NA,NA,6,21,15,8,2,6,13,19,15,20,22,20,26,12,34,32,33,24,43,26,17,24,19,12,13,54,41,15,25,16,11,58,58,98,104,100,89,78,87,65,28,13,24,29,31,38,45,47,32,35,68,98,100,53,46,48,38,46,48,48,45,56,22,39,35,34,18,35,21,5,5,3,1,NA,3,NA,1,NA
"9",NA,NA,10,15,17,10,15,8,10,7,6,12,1,22,11,13,11,5,16,NA,NA,5,16,16,8,2,5,14,17,18,20,23,19,25,11,28,30,37,23,44,27,11,28,20,14,13,42,55,15,24,13,13,61,66,90,98,87,87,75,72,66,34,15,24,26,29,34,51,51,35,31,72,99,107,64,40,44,38,50,47,43,48,46,21,28,31,36,16,33,16,4,5,4,1,NA,5,NA,1,NA
"10",NA,NA,10,15,13,11,16,8,9,8,4,13,2,21,12,10,8,7,17,NA,NA,5,10,17,7,3,3,16,16,16,22,20,23,29,16,31,25,36,20,43,29,13,25,21,11,16,47,49,17,24,16,8,55,58,91,107,91,96,84,77,64,30,14,25,31,26,38,47,59,30,34,73,103,98,55,37,45,42,47,49,45,46,50,24,32,35,34,15,27,16,5,5,3,1,NA,3,NA,1,NA
"11",NA,NA,14,16,14,9,14,10,10,8,4,12,1,26,10,11,9,7,17,NA,NA,5,13,17,9,3,4,13,16,18,20,22,16,30,14,27,30,37,27,45,26,15,22,16,15,10,51,52,18,31,13,9,47,58,95,103,102,91,82,90,62,31,13,24,29,33,38,46,52,33,31,73,104,98,56,41,41,42,45,51,52,45,48,22,26,27,38,12,34,17,5,5,4,1,NA,3,NA,1,NA
