"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,59.38,NA,NA,NA,NA,35.06,90.22,NA,NA,125.28,NA,125.28,NA,0.279822638654359,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,59.38,63.66,32.98,11.4,NA,18.94,66.02,75.02,9.64,80.58,200.42,153.29013847158,231.26,90.22,0.327106553404232,0.609886925593258,0.113529351892429,0.659103648097226,0.590859633024969,0.660967529858453,0.137841512081782,NA,0.111706559845104,NA,0.101691557695111,NA,0.10890649881554,NA,0.743243402011677,0.617710978367781
"10",10,63.66,69.76,46.7,26.66,14.22,17.2,24.68,36.4,8.56,147.04,136.14,121.412215614446,216.68,155.6,0.153380366837281,0.281795272112255,0.0566958362607079,0.221234434211156,0.310234368538729,0.402544396153039,-0.0333310466417388,0.103525040061185,-0.00249913776943928,0.0960745118137239,-0.0152117055979702,0.0220993924527249,-0.0146529868587068,0.0226954093483,0.6370380925533,0.45252330819265
"11",11,69.76,61.56,37.78,15.44,22.38,0,16.14,20.8,18.84,164.6,142.52,113.948778653637,220.38,183.44,0.158649628262365,0.167692167999037,0.108275039179199,0.119030274037766,0.61632276765822,0.48983848378451,NA,0.0368203628413229,0.472825650073985,0.0181919706487797,0.194777127961759,0.0194000798605836,0.219579945857099,0.0201429102025458,0.710886457802781,0.527295486472232
"12",12,61.56,0,0,0,0,70.9,30.74,20.9,20.5,164.9,141.2,NA,237.04,185.4,0.215994457923231,0.217706329622656,0.117220833397948,0.119397653136151,NA,NA,NA,NA,-0.142890749615758,NA,0.000645161290322581,NA,0.000655796456459815,NA,NA,0.419117761626438
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0,0,0,0,0,0,38.3,17.56,43.58,142.22,174.72,NA,241.66,185.8,0.338925695883928,0.231170211898083,0.267827909029709,0.116696516548209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529551689726237
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,0,43.06,0,0,37.36,0,10.36,21.86,12.2,147.58,96.84,NA,192,159.78,0.117442824297443,0.167749421791329,0.0794749420093601,0.138173604270131,NA,NA,NA,NA,NA,0.142241931162322,NA,0.131124891765226,NA,0.14317233147502,NA,0.355444677034549
"17",17,43.06,57.34,32.18,16,0,17.22,13.92,23,11.16,158.28,102.4,87.0635028465779,206.36,169.44,0.12160133586756,0.178887842173717,0.0681463266828311,0.135728792308221,0.292661770034907,0.57834796785012,-0.0533286243016838,NA,-0.102723787043843,0.420865582080111,-0.0205217457454795,0.125279373174369,-0.0199080970474164,0.136779458280883,0.669421347711951,0.343281546157121
"18",18,57.34,83.66,42.26,17.4,21.98,0.22,24.96,20.54,33.68,147.6,150.36,120.502258078944,226.78,181.28,0.258329330826486,0.200544602471409,0.205321995056394,0.130275586676104,0.305035888954579,0.684421926222963,0.252544199885767,0.280261152224979,0.221786768349496,0.213629012634111,0.0434329185829809,0.171889423594964,0.0453229853910097,0.189804887774445,0.708806806259074,0.48247175240345
"19",19,83.66,52.82,33.36,1.78,5.12,10.26,263.06,19.5,81.56,86.58,424.8,253.478982689029,450.7,168.14,0.76465140511813,0.626954709326963,0.664223745807793,0.203340545448089,0.92046232930767,0.461151261007512,0.517550849296228,0.115160866670921,0.633167373423564,0.305260156612251,0.468208160625891,0.233945295725189,0.633167373423564,0.267212229869614,0.949085121539381,0.701152151617573
"20",20,52.82,18.82,17.56,8.68,5.62,16.06,5.24,2.34,23.42,82.66,66.02,55.9953069083068,113.66,106.08,0.252317220705257,0.0667814987438993,0.249832711809927,0.0279787339809686,1.1030198953819,0.0699391724088183,0.47337059206985,0.0174474833400055,0.375072836799732,-0.146093267047495,0.286807202427969,-0.0936872973769525,0.339126166277183,-0.0883939823261038,0.669476064165719,0.424296291161841
"21",21,18.82,17.82,12.04,10.5,7.52,2.44,15.58,3.58,25.72,59.28,61.08,65.2360292320659,104.16,85,0.397016398904705,0.184124838559789,0.361579535792387,0.0585363071252393,0.450603403856726,0.390823406543068,0.0364484823060603,-0.0120880734683734,0.161658497748124,-0.0600098416575445,0.00273949167052615,0.010461584233136,0.00286609808903005,0.0109222577507583,0.535547810397925,0.274085116154513
"22",22,17.82,7.14,2.88,1.28,3.88,0.86,9.34,3.22,24.74,38.12,48.42,43.6759047478647,75.42,62.86,0.452410915161154,0.166515267897912,0.503303103885086,0.0812155229773589,1.91397517178654,0.968717699820441,1.3255074688391,0.339068396508394,1.37735104133558,0.052256841138168,0.697899129653942,0.082472582972583,1.25581483458001,0.0927208776053072,0.691428571428571,0.293580917244765
"23",23,7.14,25.02,3.5,2.48,0.64,2.92,13.76,25.66,4.86,36.48,53.4,56.7350400558983,80.76,41.34,0.230657699970808,0.488184539093009,0.126212898019006,0.534455566802207,0.764571008583616,2.04932436645015,0.406648715100708,1.63516944489948,0.0828172915571399,1.45391777710367,0.0813850038850039,0.700120810302699,0.0981320982387406,1.23651562764459,0.580301587301587,0.249676013686428
"24",24,25.02,29.54,11.94,5.1,3.38,0.9,24.84,21.36,15.18,46.96,81.9,67.282605319038,108.34,62.14,0.369158553802418,0.426673398287374,0.280750308719954,0.377105133693963,0.751170938589791,0.918135844672981,0.497441631376889,0.32966814172554,0.52513381927717,0.536672073985175,0.271876219357956,0.342181805953598,0.331953661463552,0.433324604261557,0.707854052335544,0.438500389757239
"25",25,29.54,16.22,8.14,2.26,1.08,6.38,30.5,15.1,19.48,48.84,87.26,64.2707695891635,113.92,68.32,0.438578392114118,0.400353449285294,0.337977841029363,0.270519636593415,1.3162117555037,0.707621026652723,0.52691772669393,0.349698733169815,0.650121899491699,0.485700391467167,0.455058354084226,0.304163118608407,0.62355979034309,0.374155283227149,0.783515623265623,0.455907783491969
"26",26,16.22,11.16,6.76,7.9,2.98,10.56,15.74,5.66,9.22,54.72,40.9,52.3879474658281,85.34,63.94,0.292078335889653,0.250691468549522,0.156148454602807,0.0987750619284162,0.888267419175742,0.512643197607231,0.338786532094914,0.258913890394329,-0.0475169718858508,0.0834165353062719,0.0242354487222299,0.0235846909376052,0.0264051575293169,0.0275568370538468,0.465986346986347,0.188801402795148
"27",27,11.16,19.4,5.16,3.76,12.74,1,27.06,9.62,11.06,49.32,59.52,60.3789145687962,97.06,60.38,0.392960728804928,0.378091854662103,0.203952320827405,0.179955236822434,0.805192435932856,1.3641707441556,0.51818558140709,0.574876715345832,0.43629367142421,0.0713573646624534,0.205800605311441,0.0919608627816054,0.254552870199723,0.102709663648901,0.600116217116217,0.240408938165036
"28",28,19.4,23.8,4.88,1.48,1.58,0.48,73.74,16.22,30.46,28.48,134.14,105.256906395733,148.9,58.94,0.699340187841661,0.604303396053237,0.729248755366428,0.452843145842963,1.43697252995449,1.64369840305844,0.93596112289224,1.09421751597762,1.15116381161848,1.19406642945261,0.622743577717208,0.651933583298631,1.02140965852245,1.09425391135706,0.776946608946609,0.483562985624637
"29",29,23.8,11.42,3.76,2.12,0.5,1.78,52.1,9.16,23.14,21.56,92.4,92.5368008979665,105.96,44.7,0.710165566092104,0.578133472993706,0.737355540149621,0.357704868353079,1.95472072817023,1.20226008970122,1.36131125171306,0.915253235175451,1.26298127741526,0.791016132811672,0.665535093089395,0.401019292455051,1.13726927800376,0.569938255970841,0.641132756132756,0.374651307062418
"30",30,11.42,9.64,2.94,2.18,1.24,0.78,36.1,8.04,10.76,19.96,59.82,68.0710377156035,74.86,30.72,0.626414621671931,0.590117870798336,0.438037673410874,0.343577050347462,1.43324595188404,1.26589325624718,1.08770960452761,0.764881849184927,0.862592891126621,0.646950914512581,0.480746838816498,0.396132924265277,0.721251985822278,0.55094731075555,0.599428571428571,0.25313390601788
