"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,0.310084759863167,0.0131672614712725,69.05
24,0.321335510668215,0.00871260263615808,77.85
25,0.284720782567959,0.00814107072330908,84.95
26,0.626994730473145,0.024900588982871,88.05
27,0.582849290674241,0.0181887048847513,91.85
28,0.303726565922742,0.00712576078356267,97.2
29,0.645358951308316,0.0150519978340625,106.75
30,0.621586185888455,0.0188206157761356,117.2
31,0.67544243003546,0.0229427866550467,123.585
32,0.861499050649948,0.0301086839292121,129.185
33,0.852913161311102,0.0415560640490643,136.2
34,0.701801149825542,0.0230578276194566,142.4
35,0.761411899140704,0.016407875913756,147.1
36,0.563797505196394,0.0191890303300069,152
37,0.756771777066601,0.0287780792470405,158.15
38,0.830945484594084,0.0224801996118182,163.4
39,0.570213313071929,0.0213804543053268,166.75
40,0.869162436337297,0.0219641601864383,169.55
41,0.757368436875127,0.027689648126603,172.8
42,0.801768359598338,0.0239161782645064,179.45
43,0.922884182005734,0.0299729506734982,188.55
44,0.78314703831573,0.0246582406787135,196.2
45,0.882374913733609,0.0330202785271796,200.4
46,0.383866537357648,0.0201136748990016,204.9
47,0.648265433492211,0.0138571939502551,217.75
48,0.650623806349618,0.0143008151911487,232
49,0.519141460036795,0.0100552565690613,239.5
50,0.752935984203127,0.0157548217504221,244.6
51,0.886287983359753,0.0232557626145134,249.2
52,0.866257625897305,0.0450506109576163,251.551
53,0.632492717122108,0.0316003202239122,253.021
54,0.495365808861689,0.0150677850036392,256.825
55,0.615517194933213,0.0187644912875632,261.895
56,0.667663499970252,0.020993326252095,265.59
57,0.448055253314146,0.0124710701373728,269.955
58,0.620432078967714,0.0195059541315445,278.255
59,0.57072288909239,0.0206919320281422,286.8
60,0.408947008744366,0.00896721201472562,291.81
61,0.441139391874427,0.013110165749559,296.21
62,0.522333646171894,0.0199140671895716,301.3
63,0.371773788852719,0.00521495517715331,305.35
64,0.331317511449378,0.0123943019063793,311.1
65,0.751213970588833,0.023856742134673,319.2
66,0.49969696969697,0.000593939393939393,327.05
67,0.315318607861032,0.0106371691716577,338.8
68,0.815342086478545,0.0243784972127408,352.8
69,0.805380591576907,0.0236223532577266,365.55
70,0.590434263643578,0.0324622924857165,377.45
71,0.393479418602043,0.0107763426315958,385.2
72,0.690558284852403,0.0430988706563118,390.5
73,0.461628139021207,0.0222389299086047,400.45
74,0.35752380952381,0.0107093811419916,409.2
75,NA,NA,415
76,NA,NA,421.1
77,NA,NA,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,NA,NA,431.95
81,NA,NA,435.95
82,NA,NA,439.65
85,NA,NA,449.1
97,NA,NA,511.5
98,NA,NA,517.5
