"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,4.84,NA,NA,NA,NA,2.78,8.64,NA,NA,11.42,NA,11.42,NA,0.242231324231324,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4.84,7.24,1.94,0.4,NA,1.62,1.92,9.04,0.68,7.96,15.8,12.713040407937,19.6,8.64,0.131880373597327,0.556127862572808,0.0853772857985906,0.765220918109612,0.946161033188016,1.37400976928216,0.540063798835542,NA,0.309647039633144,NA,0.22947619047619,NA,0.30518416860686,NA,0.844333333333333,0.523494949494949
"5",5,7.24,4.92,3.68,1.78,0.78,2.88,3.44,3.06,1.96,15.04,14.14,14.6443876702075,23.5,17,0.229610383709011,0.275065918182165,0.121776486281009,0.184641929742371,0.694035796490866,0.31393764371764,0.138239513922158,0.14063556999459,0.0730880234832437,0.0740201324100625,0.0764402819402819,0.0372857142857143,0.0880823741242105,0.0463879041457523,0.678904761904762,0.380360424577143
"6",6,4.92,4.34,2.98,2,2.6,0.64,0.9,1.9,1.68,16.42,10.08,12.4502097333833,20.9,18.1,0.123631311538553,0.134514364128565,0.0986997961501549,0.111937765062745,0.562521967654528,0.42744987567143,0.331540677422806,0.00987064347065673,0.222293519555837,-0.181678067480112,0.0754285714285714,-0.0653253968253968,0.0923330434987413,-0.0583708526972572,0.607714285714286,0.344606516032987
"7",7,4.34,4.12,2.04,0.54,0.94,1.96,3.52,3.16,1.82,16.5,16.04,13.9697589268784,25,18.32,0.21368675303263,0.266986494820078,0.105237264163876,0.176880528628938,0.788476969320632,0.733251075008211,0.0362392435309115,0.177454792439503,0.0699755542000204,0.307625156680371,0.0837619047619048,0.226761904761905,0.0993343212032284,0.302749899910032,0.827,0.458417838525424
"8",8,4.12,2.94,2.38,2.54,1.2,1.54,2.72,0.4,0.78,18.88,8.82,13.2247252348402,22.78,19.66,0.153646999030294,0.137250003594168,0.0400325681774646,0.0204001094757686,0.587803107156811,0.223936878359935,-0.01630026622156,-0.00704441187178705,0.0273135014783431,-0.118129894421958,-0.0160873015873016,-0.10452380952381,-0.0117557332980424,-0.0896812262672425,0.496452380952381,0.263286410341128
"9",9,2.94,3.52,1.64,1.18,1.56,0.56,1.7,1.26,0.62,18.66,9.76,12.2259653501537,22.24,19.28,0.103413361788648,0.132002642242917,0.033525659824847,0.0656636177092802,0.567077714484947,0.71165203904936,0.110939000852712,0.000241720594078699,0.219319215891767,0.0668494064361753,0.089,0.0796666666666667,0.112536428670401,0.10161970553036,0.574,0.334624074475501
"10",10,3.52,1.38,0.46,0.76,0.62,2.84,0.66,0.48,0.76,19.16,7.58,7.50894264234263,21.06,19.92,0.0664659493186751,0.0541293131605287,0.0391622079452141,0.0256703726993603,1.26880830266872,0.349673143849877,0.292213158109998,-2.04413405302636e-17,0.0405239405432205,0.0706484965272832,0.0826666666666667,0.123333333333333,0.101503476304677,0.0540620144144219,0.354700854700855,0.297818959238814
"11",11,1.38,1.52,0.74,2.36,1.58,0.02,0.84,0,1.56,18.08,4.56,9.77479478572157,20.48,19.64,0.116774154731316,0.039902559907002,0.0836929704438002,0,0.221459657771589,0.387120101090789,NA,0.0479470120752968,0.215011136307367,-0.21350362965444,0.0216666666666667,-0.0763333333333333,0.0337279790714046,-0.0596887653387046,0.208333333333333,0.121371846475865
"12",12,1.52,0.2,0,0,0.06,1.32,3.62,1.8,1.22,16.86,12.5,NA,23.5,18.08,0.206048737703871,0.230419944640903,0.0709515070208414,0.101791475057025,NA,NA,NA,NA,0.193849583885056,0.346573590279973,0.206521739130435,0.833333333333333,0.264473002337232,0.346573590279973,NA,0.34896136457282
"13",13,0.2,0.92,0.1,3.7,0.42,1,0.24,0.7,0.1,18.56,1.52,3.68807610001318,19.6,18.66,0.0173209448192286,0.0475057219406728,0.00542691306264175,0.0370381414579956,0,0,NA,NA,-0.219389492277763,0.104768423561801,-0.237047619047619,-0.0256666666666667,-0.198482136794777,-0.0172609243471069,0.0235238095238095,0.0263501997359515
"14",14,0.92,5.96,0.1,0.04,2.7,0.22,8.14,3.36,3.8,15.46,22.1,14.7602417345075,30.76,19.26,0.388779094553182,0.37344667310807,0.218585796031206,0.196390382000771,0.138629436111989,1.88012601968386,-0.519860385419959,NA,0.0924196240746594,0.802356576127239,0.682170542635659,0.509603174603175,0.11945063128187,0.806819447153524,0.714285714285714,0.440302815863187
"15",15,5.96,3.4,1.94,1.56,0.22,1,1.28,1,3.42,15.4,10.62,14.0213891413136,21.1,18.82,0.22348189232284,0.108099320260661,0.204144073140394,0.0640649506093881,1.12636624414285,0.51969482608639,0.741403477156938,0.402359478108525,0.563932070367198,0.333756700044006,0.306510822510823,0.14502380952381,0.417585294995087,0.17689832723008,0.57687074829932,0.321450522387829
"16",16,3.4,3.94,1.72,0.78,0.88,0.12,2.34,1.96,2.32,14.08,10.98,11.8423753857503,20.7,16.4,0.225428222732234,0.208346850887704,0.154327715931887,0.13291029525538,0.672939496548474,0.816651407982091,0.551757896787062,0.248774704670919,0.460331915930203,0.359247754024212,0.276047619047619,0.270761904761905,0.34055176978526,0.365591955231278,0.684353741496599,0.310706981614876
"17",17,3.94,2.88,1,0.2,0.38,1.62,2.64,1.62,2.22,13.82,10.68,8.46911356899001,20.3,16.04,0.23811682473462,0.208743288410188,0.148354051136397,0.111621812947751,1.13565374561621,0.8697173274258,0.500946455712016,0.501797973212833,0.436184540161219,0.68939583618423,0.324,0.456333333333333,0.462056239421532,0.660514703660898,0.882113821138211,0.307264416955593
"18",18,2.88,3.26,1.92,1.78,1.02,0,0.8,1.12,1.22,14.22,5.92,8.66387912133943,17.36,15.44,0.116828435582306,0.110156129560154,0.0852406035303882,0.0760945055230109,0.395020511317132,0.56719760755704,NA,0.37701168622258,0.258894495370295,0.0701349175930039,0.063,0.0424523809523809,0.079056899998968,0.0542312804080401,0.532,0.195276244996833
"19",19,3.26,0,0,0,0,0,4.96,0.88,5.82,9.52,16.52,NA,21.18,15.34,0.509086744859514,0.272701794671131,0.484730549187931,0.0891377987345703,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.515665279165279
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,0,1.9,0,0,0,0,2.14,0.5,0.68,9.72,5.74,NA,13.04,10.4,0.217992698477993,0.204936504671799,0.0664191743923552,0.0517911536610695,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.256292152292152
"23",23,1.9,6.32,1.38,0.46,0,0.22,4.98,4.9,0.86,9.36,14,12.8861299068478,20.1,10.22,0.286184717441515,0.49080523030237,0.0854662660922055,0.424408435159606,0.292435156525524,1.59373757272595,-0.0758582200369047,NA,0.139942776802336,1.38728883396658,0.095,0.665865079365079,0.137587116089209,1.22559969152326,0.801666666666667,0.347550505050505
"24",24,6.32,2.64,1.24,0.7,0.28,0.34,5.3,3.14,3.6,10.66,16.42,17.1984358468678,22.7,14.26,0.392061908507076,0.366942043220134,0.295256649351102,0.259086600656483,1.57497856006178,0.640569511654349,1.19301532208877,0.369703574373744,1.17376330529135,0.422870775419463,0.591809523809524,0.213809523809524,0.979654952515868,0.313257996952623,0.678333333333333,0.415337051837052
"25",25,2.64,1.2,1.08,0.82,0.2,1.4,2.96,0.58,2.16,11.64,8.4,8.57156401638714,17.34,13.8,0.297288184725491,0.204990398919965,0.171302224185342,0.0462507222100557,0.719970126951358,0.06762411517658,0.406510806018648,-0.232732830302478,0.0149324058526752,-0.0554517744447956,0.034047619047619,-0.02,0.0716749507202222,-0.0162186043243266,0.61,0.233281191031191
"26",26,1.2,0.9,0.54,0.48,1.18,1,0.2,0.14,0.48,11.74,2.66,2.56763802420687,12.56,12.22,0.0543703241203241,0.0254809912309912,0.0430073757326424,0.0124007741747861,0.293254576390746,0.186616548612293,-0.183102048111352,-0.1480520789645,-0.208094721205521,-0.409997967902995,0.0590277777777778,-0.0265151515151515,0.0244136064148469,-0.0349785441110761,0.572072072072072,0.157203740703741
"27",27,0.9,1.78,0.16,0.86,0.98,0.1,1.24,0.72,0.82,11.06,4.8,6.42875279285843,13.84,11.88,0.151259963892317,0.142059763765646,0.0764071300812658,0.0672247683680254,0.173286795139986,0.9318399936705,0,0.577622650466621,0.383948457691726,0.290179388452422,0.336879432624113,0.200666666666667,0.36744495339268,0.249052700410297,0.14957264957265,0.185571484071484
