"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,0.94,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,0.94,0.12,0,0,NA,0,2.28,1.82,0,1,5.04,NA,5.1,1,0.445333333333333,0.803333333333333,0,1.00338530276771,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.94
"17",17,0.12,0,0,0,0,1.32,0.46,1.82,0,2.82,2.4,NA,5.1,2.82,0.0858571428571429,0.451333333333333,0,0.514279352730099,NA,NA,NA,NA,-0.277258872223978,NA,0.166666666666667,NA,0,NA,NA,0.0433333333333333
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,0,0,0,0,0,0,1.78,0.46,2.04,2.6,5.34,NA,6.88,4.64,0.5605,0.321785714285714,0.59877035508764,0.14519951745143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421666666666667
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,0,2.68,0,0,0,0,3.5,2.62,0.32,2.74,7.24,NA,9.18,3.06,0.414848484848485,0.669336940836941,0.103610686617833,0.688778639738553,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.281666666666667
"24",24,2.68,0.36,0.28,0.06,0,0,1.34,0.58,1.74,3.62,5.62,2.15421997641685,7.28,5.36,0.425031746031746,0.265214285714286,0.404949686175135,0.153903951322723,0.780355204520703,0,NA,NA,0.869833797929177,0,0.859,0.222222222222222,0.741850978698601,0,0.821428571428571,0.554333333333333
"25",25,0.36,0,0,0,0,1.46,0.92,0,0.18,4.02,1.34,NA,5.12,4.2,0.217690476190476,0.18397619047619,0.0428796012563481,0,NA,NA,NA,NA,-0.326024870819131,NA,0.15625,NA,0.0495105128971389,NA,NA,0.0556666666666667
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,0,3.68,0,0,0.2,0,2.06,2.58,1.02,3,7.06,NA,8.66,4.02,0.357542568542569,0.536988455988456,0.296747808061025,0.637137231773721,NA,NA,NA,NA,NA,1.31585024240202,NA,0.945333333333333,NA,1.31585024240202,NA,0.486333333333333
"28",28,3.68,2.62,1.08,0.24,0,0.42,2.42,2.36,2.52,3.06,9,3.88025792414373,10.36,5.58,0.479555555555556,0.464424242424242,0.63056715043428,0.604368392790296,1.20737030422351,0.849304753068437,0.766603855392914,NA,0.852062244927913,0.776981784551791,0.504857142857143,0.473333333333333,0.784800268070682,0.696891059543083,0.891156462585034,0.589
"29",29,2.62,1.6,1.2,0.7,0.06,0,3.92,1.34,1.68,3.74,8.62,4.97372935310342,10.68,5.42,0.525459706959707,0.491688644688645,0.366839591486729,0.294267445466819,0.764429588101913,0.245287104914935,NA,0.0866433975699932,0.588858853544987,0.178133626900025,0.245666666666667,0.13,0.346099259747626,0.181531607635933,0.68,0.458666666666667
"30",30,1.6,0,0,0,0,0,0.56,0.08,0.3,4.78,3,NA,5.72,5.08,0.145753968253968,0.10818253968254,0.063884375344026,0.0196165850602345,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.454666666666667
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,0,0.84,0,0,0,0,1.28,2.06,0,4.86,6.1,NA,8.2,4.86,0.157777777777778,0.410992063492063,0,0.369529158629932,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.57947619047619
"34",34,0.84,0.62,0.08,0.38,0,1.12,4.44,0.44,0.5,6.42,6.48,2.41392345778135,11.8,6.92,0.421048951048951,0.413031635031635,0.0744957980634962,0.062993087116525,0.346573590279973,0.693147180559945,0.346573590279973,NA,-0.134807573641738,0.262874768601389,0.00396825396825397,0.538461538461538,-0.014752926792399,0.138629436111989,0.2,0.173452380952381
"35",35,0.62,1.08,0.54,0.2,1.18,0,0.28,0.48,0,6.86,1.98,0.812182950753108,7.62,6.86,0.0345952380952381,0.0936587301587302,0,0.0665775734641124,0.102688471194066,0.231049060186648,0.0990210257942779,0.173286795139986,0.0749348303308049,-0.418827734455603,0.0540540540540541,0.00694444444444444,0.0749348303308049,-0.0407218061188194,0.72972972972973,0.180388888888889
"36",36,1.08,1.76,0.22,0.38,0,0.14,2.38,1.04,1.16,6.18,6.26,2.50945305157883,10.76,7.34,0.327861471861472,0.313000943500943,0.174561231796746,0.157943145277169,0.666994264882511,0.72526982664805,0.444656515581145,0.726799476461769,0.423740510713059,0.727585764458186,0.556737588652482,0.598666666666667,0.423740510713059,0.389485898423532,0.388888888888889,0.272793650793651
"37",37,1.76,3.3,1.3,0.64,0.4,0.52,0.72,0.48,0.44,6.78,5.14,2.56432660120924,8.42,7.22,0.120490065490065,0.1266891996892,0.061617801637886,0.0681524091609264,0.181822437789366,0.841212610194182,-0.0703352679190009,0.519295685089021,0.00700983826294193,0.563785595858583,0.0510912698412698,0.279,0.0781269195475401,0.382502438622621,0.654513888888889,0.528706349206349
"38",38,3.3,4.82,2.16,0.64,0.64,0,2.14,1.5,1.24,6.02,8.82,4.18039747029258,10.9,7.26,0.304998390498391,0.328586857586858,0.192297298980695,0.228859841248674,0.441781553896219,0.833023502286234,NA,0.485160538560587,0.380737337667524,0.479197846143155,0.193333333333333,0.31518253968254,0.24459578344295,0.409883128087161,0.789333333333333,0.667833333333333
"39",39,4.82,0,0,0,0,0.56,3.2,0.38,3.74,3.78,10.28,NA,11.1,7.52,0.627433566433566,0.319292374292374,0.696597298307662,0.0899116783507177,NA,NA,NA,NA,1.52845005444039,NA,0.884476190476191,NA,1.52845005444039,NA,NA,0.809666666666667
