"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,0,NA,NA,NA,NA,13.44,23.08,NA,NA,36.52,NA,36.52,NA,0.368049752296902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,0,7.38,0,0,5.58,0,4,8.24,0.2,22.88,17.02,NA,35.32,23.08,0.117000640955347,0.345287410659251,0.00846375598760042,0.308037121559829,NA,NA,NA,NA,NA,0.300848946803763,NA,0.258055555555556,NA,0.338059421666963,NA,0.202995192890845
"10",10,7.38,0,0,0,0,8.02,6.04,5.92,2.2,28.92,22.56,NA,43.08,31.12,0.190231417583477,0.277423813985703,0.0728452345474029,0.187649272055092,NA,NA,NA,NA,-0.0784480794889433,NA,0.0597142857142857,NA,0.0697142002512449,NA,NA,0.290731214012015
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,0,0,0,0,0,0,9.04,7.28,3.82,31.02,32.02,NA,51.16,34.84,0.251379373278576,0.318732790140481,0.117270624070377,0.212228945590467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383851126608471
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0,6.74,0,0,8.7,0,2.44,4.54,1.78,36.52,18.16,NA,45.28,38.3,0.0934381916801997,0.154126180996626,0.0476831710959947,0.117475899752592,NA,NA,NA,NA,NA,-0.266294920465479,NA,0.0288888888888889,NA,0.034132033217755,NA,0.257583929806982
"15",15,6.74,15.76,4.66,4.46,0,1.36,3.68,5.48,2.4,38.66,24.48,26.2995658745271,50.22,41.06,0.120643215191217,0.182166568027131,0.0602627892982677,0.133138245314581,0.403112825282741,1.27696679433073,0.220478550392322,NA,0.0653781931960578,0.816392228053506,-0.0133585858585859,0.329973988961787,-0.011753692585832,0.422324674992428,0.509521645021645,0.334864626438817
"16",16,15.76,10.78,5.9,1.1,1.8,3.44,14.12,6.46,9.96,34.18,53.1,32.9340087826347,64.72,44.14,0.371811716422372,0.317961936550126,0.257548922142138,0.174579679766059,1.00935268544503,0.624669829991735,0.207517388751608,-0.0876014593100525,0.488528329074911,0.304111931870278,0.365989909041767,0.231921911421911,0.470735473267086,0.276771827721963,0.842561327561328,0.661728479963353
"17",17,10.78,9.14,5.92,6.82,1.42,4.42,1.96,1.7,2.28,38.36,17.92,21.2074000316473,44.3,40.64,0.0955567257938829,0.0826752344584757,0.0583460334531767,0.0441386100785042,0.633253462686244,0.465396830588116,0.274827532808033,0.282762555697697,0.0249078493430188,0.120970438993294,0.00722303307287827,0.0126459606784684,0.0087611760929574,0.014151872173112,0.467286057080175,0.311584235963803
"18",18,9.14,11.56,4.8,1.96,6.06,0,3.22,3.9,4.48,35.58,27.02,20.0528885219101,47.18,40.06,0.163179479562541,0.1507835274491,0.119478951568688,0.104403248406775,0.673757130146758,0.919283814939085,NA,0.117448518245661,0.511626031818376,0.0549856028528772,0.222320929070929,0.0685301365301365,0.270032602955788,0.0743593228075115,0.710547619047619,0.434548679053431
"19",19,11.56,0,0,0,0,0,2.08,0.78,5.92,33.56,19.7,NA,42.34,39.48,0.189046209464451,0.0675194072477113,0.162875773202393,0.0229399612697272,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.326709155785294
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,0,10.58,0,0,0,0,4.62,3.24,3,31.34,20.92,NA,42.2,34.34,0.180282150476169,0.185725217329647,0.0918924604632674,0.0981524863846965,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.323087629976379
"23",23,10.58,6.14,3.12,1.08,0,0.5,13.68,2.78,10.98,23.6,36.46,26.9687668422287,51.04,34.58,0.483295337397711,0.323015165203845,0.381916690986706,0.110813342286852,1.28711897143496,0.734806959026343,1.14191945398353,NA,0.938768405984236,0.583510878463323,0.538269028357264,0.285365079365079,0.81725045998066,0.393706033321143,0.760261904761905,0.384793411910574
"24",24,6.14,4.84,2.96,0.4,0.48,0,1.98,0.84,3.32,23.06,14.52,8.84750576632936,29.2,26.38,0.181228963121826,0.0973454964094482,0.135185605450778,0.0369819881328444,0.765930826984648,0.530426868363934,NA,0.210731011246158,0.687774881931973,0.332201513566832,0.422865079365079,0.250333333333333,0.591114948227839,0.322459331623858,0.887,0.364504741956916
"25",25,4.84,0,0,0,0,1.9,2.48,0.34,2.72,21.18,8.78,NA,26.72,23.9,0.194775417881034,0.105044235497396,0.121358101903345,0.0155092007353604,NA,NA,NA,NA,0.988517137559123,NA,0.592428571428571,NA,0.988517137559123,NA,NA,0.153756502548318
"26",26,0,0,0,1.38,0.56,0,0,0,0,21.52,0,NA,21.52,21.52,0,0,0,0,NA,NA,NA,NA,0,-0.281605605641624,0,0,0,0,0,0
"27",27,0,0,0,0,0,0,1.16,0.68,1.26,20.26,5.2,NA,23.36,21.52,0.103994345573064,0.0785971054625517,0.0607667264850496,0.0329338029612128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10477543350743
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,3.32,0,0,1.32,0,2.26,1.6,1.52,19.42,12.2,NA,24.8,20.94,0.151442719541811,0.154518343113087,0.0758945672054559,0.0799814949429234,NA,NA,NA,NA,NA,0.894632743505003,NA,0.566666666666667,NA,0.894632743505003,NA,0.352449738136708
"30",30,3.32,5.36,2.68,2.68,0,0.44,0.2,1.78,0.04,20.98,6.8,7.52131103837258,23,21.02,0.0100955583868627,0.0859013606276764,0.00203220352821565,0.0828399381715825,0.222149207137241,0.73748806590212,0.118553938577837,NA,0.0383502134906723,0.416169963748948,-0.0262142857142857,0.0591587301587302,-0.0222955445104293,0.067132659405742,0.507801587301587,0.228603660783362
"31",31,5.36,5.16,2.54,0.24,0.88,2.08,6.26,5.18,4.28,18.48,24.14,14.1839993508579,34.2,22.76,0.307729023921851,0.333694869291118,0.210322383588561,0.248612414446826,0.785384514439594,0.748596835240884,-0.0183668940513645,0.0250787440724049,0.141866428845922,0.411360404121592,0.11547619047619,0.310380952380952,0.130927135438285,0.402434662069023,0.905333333333333,0.457618942390076
"32",32,5.16,4.24,3.68,4.46,0.12,1.4,0.5,0.32,0.8,22.86,7.02,8.22356278828587,24.48,23.66,0.0522630781456868,0.0334360763230328,0.0338301674762598,0.0140187451516139,0.347476028777566,0.150009069786873,-0.0802842420821274,0.0508126162295384,0.00922341276116272,0.0538293736872728,-0.0364603174603175,0.005,-0.0340145282133016,0.00558970610495204,0.455293650793651,0.237752428806891
"33",33,4.24,5.36,2.28,1.12,2.18,0,2.74,3.38,3.78,19.4,16.66,13.9765691181075,29.3,23.18,0.223427170606577,0.209214238072774,0.180200305737627,0.161116863971864,0.669033734208327,0.904096411587579,NA,0.0923405751799201,0.4779819240575,0.150148810254369,0.193714285714286,0.130460317460317,0.251516305738154,0.154199295536598,0.692333333333333,0.35019320126636
"34",34,5.36,0,0,0,0,3.04,3.44,1.32,1.12,21.66,12.74,NA,27.54,22.78,0.165470487014656,0.17293564743732,0.050502571178585,0.0593027776692424,NA,NA,NA,NA,0.582467117784052,NA,0.427904761904762,NA,0.582467117784052,NA,NA,0.320211101884759
