"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,0.0387660159111808,0.000854547724984863,172.8
42,0.0742447466534154,0.0103970884880556,179.45
43,0.0661257437975848,0.00853115812358799,188.55
44,0.0717872575480935,0.00687883646119037,196.2
45,0.219687353496177,0.0153749840684374,200.4
46,0.328611063772829,0.0270453568137667,204.9
47,0.260299404434865,0.0121787428581547,217.75
48,0.27421470730307,0.0121651885951169,232
49,0.43713751324355,0.0359118286416255,239.5
50,0.244597883692589,0.01779702262371,244.6
51,0.18762451274216,0.0139334779190834,249.2
52,0.0845503385503386,0.00386204844827645,251.551
53,0.118177632109589,0.00548535581822918,253.021
54,0.0494900625432801,0.00548443112540626,256.825
55,0.0670127737589409,0.00314074055803285,261.895
56,0.077275814463722,0.00360404018669804,265.59
57,0.0615900666834597,0.00430814327605955,269.955
58,0.084892891482372,0.00432100217476185,278.255
59,0.0866921891189456,0.00510558983428027,286.8
60,0.120525065387109,0.00423562901821933,291.81
61,0.0866799801792358,0.00593450222641123,296.21
62,0.0358577195421269,0.00325792385082825,301.3
63,0.0762053306170953,0.00272159792712415,305.35
64,0.0883959236135712,0.00609253490364341,311.1
65,0.0782617853321157,0.00666986105837613,319.2
66,0.0877022444921791,0.00769611889503241,327.05
67,0.0699829247930391,0.0075706823968839,338.8
68,0.0559459680588688,0.00503235630091326,352.8
69,0.0210057711468006,0.00175042849485242,365.55
70,0.0313947497840943,0.00088426544709857,377.45
71,0.0296141554622374,0.000810005685469615,385.2
72,0.0138016920915728,0.000224591150239356,390.5
73,0.00963773069830816,0.000106384732237996,400.45
74,0.00960238327951419,0.000110811890793263,409.2
75,0.0174213615419016,0.000389598168656703,415
76,NA,NA,421.1
77,NA,NA,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,NA,NA,431.95
81,NA,NA,435.95
82,NA,NA,439.65
83,NA,NA,442.3
84,NA,NA,444.5
85,NA,NA,449.1
86,NA,NA,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
91,NA,NA,487.45
92,NA,NA,491.75
93,NA,NA,495.5
94,NA,NA,498.75
95,NA,NA,502.5
96,NA,NA,506.75
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
