"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.0943776875152751,0.00374302966788029,253.021
54,0.189341487579818,0.00969368034030036,256.825
55,NA,NA,261.895
56,0.0579447501236318,0.00336832272851451,265.59
57,0.187423128638128,0.00323392808260705,269.955
58,0.104441285697305,0.00625558821669374,278.255
59,NA,NA,286.8
60,NA,NA,291.81
61,0.168824967369795,0.0118001707225131,296.21
62,0.0456632672610311,0.00553793870926002,301.3
63,NA,NA,305.35
64,NA,NA,311.1
65,NA,NA,319.2
66,0.0944366266583658,0.00606177117555315,327.05
67,0.0917865304569895,0.0089720941996466,338.8
68,0.268112253552433,0.0133060601451549,352.8
69,0.120724254328539,0.0059921723411359,365.55
70,0.163747364061071,0.0129916361561834,377.45
71,0.258627495500717,0.0100270528731907,385.2
72,0.294096137538189,0.010985433781641,390.5
73,0.3473270607054,0.0118328283220519,400.45
74,0.243291882407198,0.00867518271389303,409.2
75,0.253579524017329,0.0117251388993071,415
76,0.330151662525654,0.008478110591736,421.1
77,0.372331606318332,0.0105452962001976,424.3
78,NA,NA,426.5
79,0.276472893003284,0.0116299122891981,428.95
80,0.307374007932514,0.0118869238829107,431.95
81,0.289480687720789,0.0123605116794598,435.95
82,0.510827360419701,0.0222530573303369,439.65
83,0.437535578198891,0.0207007488462918,442.3
84,0.262122791718007,0.00571743429300739,444.5
85,0.290423107709855,0.0078636371042293,449.1
86,NA,NA,455.7
87,0.0671167424637385,0.00499252534908139,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
