"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,7.36,NA,NA,NA,NA,7.02,9.7,NA,NA,16.72,NA,16.72,NA,0.419579552527459,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,7.36,7.82,2.5,1.54,NA,0.56,11.86,7.12,4.1,5.6,26.34,32.3350362995253,28.68,9.7,0.555183822337297,0.659345401738198,0.573480220993424,0.841317392626286,1.15547876560135,1.21166515800897,0.842158961985709,NA,0.698476107569827,NA,0.360744255744256,NA,0.489288889097492,NA,0.627238095238095,0.581619047619048
"25",25,7.82,6.94,3.28,1.2,0.44,1.38,9.22,5.56,4.08,8.64,24.14,22.684689424407,27.5,12.72,0.480641808234265,0.538398633858092,0.390930115670255,0.510299379728772,0.88525451638029,0.764540228096123,0.269268156678631,0.251399365393643,0.447668762265015,0.505913577960106,0.29993253968254,0.292396103896104,0.399147439269714,0.378984099865554,0.751166666666667,0.620281385281385
"26",26,6.94,5.48,2.52,1.98,1.04,1.26,13.86,3.18,4.64,9.56,25.32,33.2026063894372,31.24,14.2,0.592042165351897,0.543348805116271,0.408625193079698,0.288804665287174,1.08028038892025,0.832460924434167,0.648612869776979,0.51699090621326,0.448282597881764,0.320935840314241,0.250700577200577,0.182801587301587,0.316628894812152,0.230351355952996,0.578095238095238,0.386812465312465
"27",27,5.48,5.86,1.44,0.94,1.32,0.62,20.8,4.32,5.36,7.38,33.4,34.6322257056406,37.86,12.74,0.691933011877748,0.663774211475311,0.560133773080625,0.472810127301822,1.21845242049282,1.28678838811274,0.57516715521467,0.702166685651921,0.838341199750494,0.668143795766348,0.459017316017316,0.415090187590188,0.713073234498661,0.629629646931592,0.614965986394558,0.394778166278166
"28",28,5.86,8.9,1.28,1.36,0.7,0.1,25.9,6.6,5.44,6.26,40.66,52.9829756749782,44.2,11.7,0.708517741716998,0.735425885556195,0.633506385095432,0.735445200784156,1.31809026665022,1.73342389327491,1.19864348741917,1.28650327619568,1.02888696519918,1.17585134841234,0.446768398268398,0.583052059052059,0.682305043321501,0.962619551729962,0.457666666666667,0.428017316017316
"29",29,8.9,6.16,1.38,0.26,0.24,0.36,42.18,5.7,9.36,3.5,59.72,43.1220010357362,60.74,12.86,0.848621189637371,0.788359431484657,1.35103830204167,1.00412643744833,1.65931105577557,1.31783310823241,1.14105610865514,0.751778318570591,1.56752319609722,1.25383037316269,0.762556665556666,0.679277777777778,1.52640272629023,1.18297209437807,0.801851851851852,0.733333333333333
"30",30,6.16,5.76,1.48,1.4,0.24,0.46,25.92,5,4.66,4.54,37.5,47.0875844112079,40.12,9.2,0.762531606721312,0.771102881925054,0.748715250174328,0.790673104493499,1.36513806536711,1.30644517950059,1.13641848924688,1.20592358590225,0.881210200605747,0.882726588725374,0.486883116883117,0.422097402597403,0.776060293165191,0.642518827971613,0.552333333333333,0.465
"31",31,5.76,5.86,1.64,0.48,1.02,0.5,17.84,4.14,3.88,5.66,29.54,24.8357269230693,31.52,9.54,0.689668937651672,0.697333732009761,0.5429905478074,0.573300718473238,1.24514725560864,1.28318923718659,0.98524707654819,0.673561237799846,0.874314260548517,0.740065496167197,0.539547619047619,0.46084126984127,0.829726463459993,0.670073723592016,0.789455782312925,0.6785
"32",32,5.86,6.7,1.96,0.52,0.44,1.3,10.48,4.82,3.8,6,21.88,19.9605238655982,25.1,9.8,0.568181374508987,0.609134424440898,0.507642360707414,0.605968587824837,1.11222005575572,1.27144379590723,0.885957549944668,1.05859126796194,0.553523801790381,0.951981080927471,0.381126984126984,0.580171717171717,0.529444345703862,0.919792322678789,0.792857142857143,0.474963924963925
"33",33,6.7,5.32,3.08,0.74,1.32,0.4,7.76,2.04,3.52,7.3,17.22,15.1783459246618,20.62,10.82,0.545927083576006,0.472218250358758,0.398413069747642,0.250892212777438,0.80832159660326,0.567631436154946,0.596708441031801,0.291546907070918,0.567989168312738,0.158413716162911,0.380304473304473,0.15097619047619,0.511655249542641,0.180324017147982,0.811666666666667,0.546650460650461
"34",34,5.32,8.08,2.22,0.46,0.52,0.08,17.84,5.38,3.82,5.52,30.48,25.8810890032457,32.56,9.34,0.665355771922289,0.713185934645978,0.533571865640269,0.69581406733868,0.918442017328828,1.34858099666919,0.767873812596735,1.10939674531721,0.760998197377118,0.999122819248805,0.467134920634921,0.599319957819958,0.693697030676192,0.968224831422875,0.838333333333333,0.643333333333333
"35",35,8.08,8.46,1.64,0.26,0.22,0.9,46.92,8.02,6,4.9,64.16,50.7140076280329,65.84,10.9,0.803561801450976,0.834335357875404,0.820607702058166,0.987577357375494,1.62628799194107,1.66444315747115,1.12839766167755,1.45245997683646,1.17379683208217,1.43868131381056,0.635431457431457,0.724860306360306,1.12092659848288,1.36926912234807,0.872448979591837,0.663619047619048
"36",36,8.46,8.26,2.98,1.82,0.4,1.44,14.44,5.7,4.42,8.5,29.04,32.9984275521936,33.06,12.92,0.568126198767947,0.60925906217493,0.423367775055227,0.522245279486875,1.06414453209975,1.0549270772975,0.536087841754453,0.926226426435053,0.51664210009081,0.734042479336035,0.307577589077589,0.399743867243867,0.407483350692112,0.554625708019839,0.615777777777778,0.52615873015873
