genus,binno
Hemithiris,1
Hemithiris,1
Plicatoria,1
Magellania,1
Hemithiris,2
Platidia,2
Megerlia,2
Pictothyris,2
Terebratulina,2
Hemithiris,2
Gryphus,2
Terebratulina,2
Laqueus,2
Pictothyris,2
Terebratalia,2
Terebratalia,2
Platidia,2
Terebratalia,2
Hemithyris,2
Hemithyris,2
Hemithyris,2
Notosaria,2
Calloria,2
Terebratella,2
Diestothyris,2
Basiliola,3
Basiliola,3
Argyrotheca,3
Dallina,3
Dallinella,3
Dallinella,3
Terebratalia,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Lacazella,3
Lacazella,3
Lacazella,3
Lacazella,3
Lacazella,3
Lacazella,3
Thecidellina,3
Thecidellina,3
Thecidellina,3
Thecidellina,3
Thecidellina,3
Thecidellina,3
Thecidellina,3
Terebratulina,3
Terebratulina,3
Tichosina,3
Tichosina,3
Tichosina,3
Argyrotheca,3
Argyrotheca,3
Argyrotheca,3
Pictothyris,3
Neohemithyris,3
Hemithiris,3
Hemithiris,3
Terebratulina,3
Laqueus,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Frenulina,3
Jolonica,3
Pictothyris,3
Japanithyris,3
Thecidea,3
Laqueus,3
Laqueus,3
Laqueus,3
Terebratalia,3
Terebratalia,3
Platidia,3
Platidia,3
Platidia,3
Platidia,3
Rhytirhynchia,3
Hemithyris,3
Hemithyris,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Terebratulina,3
Gryphus,3
Frenulina,3
Frenulina,3
Frenulina,3
Kikaithyris,3
Kikaithyris,3
Kikaithyris,3
Kikaithyris,3
Kikaithyris,3
Terebratulina,3
Terebratulina,3
Terebratalia,3
Terebratalia,3
Terebratalia,3
Terebratalia,3
Terebratalia,3
Terebratalia,3
Coptothyris,3
Nipponithyris,3
Laqueus,3
Laqueus,3
Kurakithyris,3
Laqueus,3
Laqueus,3
Terebratalia,3
Dallina,4
Gryphus,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Tichosina,4
Tichosina,4
Tichosina,4
Argyrotheca,4
Argyrotheca,4
Argyrotheca,4
Argyrotheca,4
Aphelesia,4
Megerlia,4
Megerlia,4
Megerlia,4
Megerlia,4
Megerlia,4
Pictothyris,4
Pictothyris,4
Pictothyris,4
Pictothyris,4
Argyrotheca,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Thecidellina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Laqueus,4
Laqueus,4
Laqueus,4
Laqueus,4
Laqueus,4
Jolonica,4
Jolonica,4
Megathiris,4
Megathiris,4
Megathiris,4
Megathiris,4
Austrothyris,4
Austrothyris,4
Austrothyris,4
Austrothyris,4
Argyrotheca,4
Terebratalia,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Terebratula,4
Megerlia,4
Cancellothyris,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Anakinetica,4
Megerlina,4
Magellania,4
Magellania,4
Magellania,4
Magellania,4
Hemithyris,4
Hemithyris,4
Hemithyris,4
Hemithyris,4
Hemithyris,4
Hemithyris,4
Notosaria,4
Notosaria,4
Gryphus,4
Ceramisia,4
Dallina,4
Dallina,4
Fallax,4
Fallax,4
Fallax,4
Fallax,4
Macandrevia,4
Gryphus,4
Gryphus,4
Gryphus,4
Gryphus,4
Gryphus,4
Terebratula,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Gryphus,4
Gryphus,4
Campages,4
Campages,4
Jolonica,4
Jolonica,4
Dallina,4
Laqueus,4
Kikaithyris,4
Kikaithyris,4
Kikaithyris,4
Terebratulina,4
Terebratulina,4
Terebratulina,4
Gryphus,4
Diestothyris,4
Terebratalia,4
Terebratalia,4
Terebratalia,4
Terebratalia,4
Terebratalia,4
Terebratalia,4
Terebratalia,4
Coptothyris,4
Coptothyris,4
Coptothyris,4
Coptothyris,4
Laqueus,4
Laqueus,4
Laqueus,4
Laqueus,4
Laqueus,4
Laqueus,4
Terebratalia,4
Kurakithyris,4
Kurakithyris,4
Nipponithyris,4
Isumithyris,4
Basiliola,5
Gryphus,5
Gryphus,5
Gryphus,5
Gryphus,5
Gryphus,5
Terebratalia,5
Aphelesia,5
Aphelesia,5
Aphelesia,5
Aphelesia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Megerlia,5
Pictothyris,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Terebratulina,5
Laqueus,5
Laqueus,5
Tisimania,5
Megathiris,5
Megathiris,5
Austrothyris,5
Austrothyris,5
Neothyris,5
Neothyris,5
Neothyris,5
Neothyris,5
Argyrotheca,5
Terebratula,5
Terebratula,5
Terebratula,5
Terebratula,5
Terebratula,5
Terebratula,5
Sphenarina,5
Sphenarina,5
Sphenarina,5
Sphenarina,5
Terebratalia,5
Terebratalia,5
Terebratalia,5
Cancellothyris,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
Anakinetica,5
