genus,binno
Acanthocladia,53
Fabifenestella,53
Fabifenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Fenestella,53
Hinganotrypa,53
Kalvariella,53
Mackinneyella,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Polypora,53
Protoretepora,53
Rectifenestella,53
Rectifenestella,53
Septopora,53
Spinofenestella,53
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Diploporaria,54
Fabifenestella,54
Fabifenestella,54
Fabifenestella,54
Fabifenestella,54
Fabifenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Fenestella,54
Kalvariella,54
Kalvariella,54
Kalvariella,54
Kalvariella,54
Kalvariella,54
Kalvariella,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Kingopora,54
Laxifenestella,54
Mackinneyella,54
Minilya,54
Minilya,54
Minilya,54
Minilya,54
Minilya,54
Minilya,54
Parapolypora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Penniretepora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polypora,54
Polyporella,54
Protoretepora,54
Protoretepora,54
Protoretepora,54
Protoretepora,54
Ptylopora,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Rectifenestella,54
Ryhopora,54
Septopora,54
Septopora,54
Septopora,54
Septopora,54
Shulgapora,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Spinofenestella,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladia,54
Synocladiella,54
Synocladiella,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Thamniscus,54
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Cavernella,55
Exfenestella,55
Fabifenestella,55
Fabifenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Fenestella,55
Hinganotrypa,55
Hinganotrypa,55
Hinganotrypa,55
Hinganotrypa,55
Mackinneyella,55
Mackinneyella,55
Mackinneyella,55
Mackinneyella,55
Mackinneyella,55
Mackinneyella,55
Minilya,55
Minilya,55
Minilya,55
Minilya,55
Minilya,55
Minilya,55
Parapolypora,55
Parapolypora,55
Penniretepora,55
Penniretepora,55
Penniretepora,55
Penniretepora,55
Permofenestella,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polypora,55
Polyporella,55
Polyporella,55
Polyporella,55
Rectifenestella,55
Rectifenestella,55
Rectifenestella,55
Rectifenestella,55
Rectifenestella,55
Rectifenestella,55
Rectifenestella,55
Septopora,55
Septopora,55
Septopora,55
Septopora,55
Septopora,55
Septopora,55
Spinofenestella,55
Spinofenestella,55
Spinofenestella,55
Synocladiella,55
Thamniscus,55
Wjatkella,55
Acanthocladia,56
Acanthocladia,56
Adlatipora,56
Exfenestella,56
Fabifenestella,56
Fabifenestella,56
Fabifenestella,56
Fabifenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Fenestella,56
Kingopora,56
Kingopora,56
Kingopora,56
Kingopora,56
Kingopora,56
Kingopora,56
Laxifenestella,56
Laxifenestella,56
Laxifenestella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Mackinneyella,56
Minilya,56
Minilya,56
Minilya,56
Minilya,56
Minilya,56
Minilya,56
Minilya,56
Minilya,56
Neopolypora,56
Ogbinofenestella,56
Ogbinofenestella,56
Parapolypora,56
Parapolypora,56
Parapolypora,56
Penniretepora,56
Penniretepora,56
Penniretepora,56
Penniretepora,56
Penniretepora,56
Permofenestella,56
Permofenestella,56
Permofenestella,56
Permofenestella,56
Permofenestella,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polypora,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Polyporella,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Protoretepora,56
Pseudopolypora,56
Ptylopora,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Rectifenestella,56
Reteporidra,56
Reteporidra,56
Reteporidra,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Septopora,56
Shulgapora,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Spinofenestella,56
Synocladiopsis,56
Thamniscus,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Wjatkella,56
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Adlatipora,57
Adlatipora,57
Adlatipora,57
Archimedes,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Cavernella,57
Exfenestella,57
Exfenestella,57
Exfenestella,57
Fabifenestella,57
Fabifenestella,57
Fabifenestella,57
Fabifenestella,57
Fabifenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestella,57
Fenestrellina,57
Filites,57
Flexifenestella,57
Isotrypa,57
Kingopora,57
Kingopora,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Laxifenestella,57
Levifenestella,57
Levifenestella,57
Levifenestella,57
Levifenestella,57
Levifenestella,57
Levifenestella,57
Lyrocladia,57
Lyrocladia,57
Mackinneyella,57
Mackinneyella,57
Mackinneyella,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Minilya,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parafenestralia,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Parapolypora,57
Paucipora,57
Penniretepora,57
Penniretepora,57
Penniretepora,57
Penniretepora,57
Penniretepora,57
Penniretepora,57
Penniretepora,57
Permofenestella,57
Permofenestella,57
Permofenestella,57
Permofenestella,57
Permofenestella,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polypora,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporella,57
Polyporellina,57
Protoretepora,57
Protoretepora,57
Protoretepora,57
Protoretepora,57
Protoretepora,57
Protoretepora,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
Rectifenestella,57
