"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,0,NA,NA,NA,NA,0.52,7.48,NA,NA,8,NA,8,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,0.58,0,0,0,0,7.3,5.04,1.24,6.24,16.66,NA,19.82,7.48,0.431705931495405,0.622201108832688,0.186573365333564,0.591985079830432,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.495333333333333
"9",9,0.58,0,0,0,0,0,10.08,11.48,0,11.28,22.4,NA,32.84,11.28,0.307787434417931,0.657621851158976,0,0.70610965048032,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.0756177156177156
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0,0.12,0,0,0,0,1.6,0.04,0.3,22.46,4,NA,24.4,22.76,0.0782149281891411,0.0674654917962264,0.0137060177113984,0.00195626620044887,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.091810678955759
"15",15,0.12,0,0,0,0,1.64,3.62,3.02,0.4,22.1,10.82,NA,29.14,22.5,0.13822336692857,0.228490418773781,0.0178724493102261,0.128687508156894,NA,NA,NA,NA,-0.346573590279973,NA,0.333333333333333,NA,0,NA,NA,0.17236910871991
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,0,0,0,0,0,0,10.44,7.66,1.64,23.48,23.44,NA,43.22,25.12,0.27920483457942,0.419365397570761,0.0671849537230071,0.283297032884294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158681472633647
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,0,0,0,0,0,0,0,0,0,31.14,0,NA,31.14,31.14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,0,5.78,0,0,0,0,2.38,5.94,0.06,31.08,11.76,NA,39.46,31.14,0.0612573311967857,0.209218897238358,0.00177493464826517,0.174434855740392,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.109699652673622
"24",24,5.78,22.2,3.32,1.42,0,1.08,21.06,47.46,1.86,35.16,83.84,78.787485305425,105.54,37.02,0.216254030724299,0.648935638515764,0.052084669036552,0.857507687254592,0.602720462035098,1.97198370058999,0.000710414557559802,NA,0.214101037458874,1.64802714352429,0.0894603174603175,0.739554799995706,0.106697459860983,1.4015511536626,0.707301587301587,0.383179090663502
"25",25,22.2,12.34,8.82,7.16,0.4,28.16,12.42,15.32,5.68,76.94,57.1,63.9967808208052,110.36,82.62,0.164048052070871,0.251290637254042,0.0713304484605004,0.181709601041442,0.931210056697252,0.34407085215092,-0.0694568882457676,-0.041926985812301,-0.409996774147257,0.176685485108419,-0.001875,0.00117647058823529,-0.00179224317379374,0.0012124924363287,0.554512184495931,0.307919108625905
"26",26,12.34,14.74,7.36,12.32,26.38,0,9.16,6.12,5.4,86.86,36.18,60.8684750112284,107.54,92.26,0.13544603700876,0.142087916450366,0.0604447986024167,0.0681993606076277,0.532924826767334,0.713210810491762,NA,0.111200763014224,0.226938545895305,-0.53241606474931,0,-0.116885724613273,0,-0.108368287172745,0.373984283686431,0.178502230044645
"27",27,14.74,0,0,0,0,12.92,25.78,12.86,20.7,72.28,93.6,NA,131.62,92.98,0.353190758266644,0.293531219515894,0.252077450718577,0.163777702297645,NA,NA,NA,NA,0.134907522967849,NA,0.129255871579401,NA,0.14509442773976,NA,NA,0.474099389709574
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,26.04,0,0,29.5,0,11.16,15.28,17.4,67.74,69.94,NA,111.58,85.14,0.255994949381047,0.236980373355954,0.229311627578502,0.203963586724051,NA,NA,NA,NA,NA,-0.125033967774477,NA,0.0103101553166069,NA,0.0109305081943968,NA,0.385835016517608
"30",30,26.04,23.5,6.74,4.34,0,3.52,22.12,14.54,29.82,53.2,91.82,92.7793656591733,119.68,83.02,0.433991389626707,0.306428930612353,0.445369494180268,0.242294674957302,1.35890834269847,1.25802256182552,0.836366831262026,NA,0.737634705640618,0.925893724661176,0.462385582762906,0.446195019700359,0.627802575657942,0.598672150469363,0.610607226107226,0.476564792484681
"31",31,23.5,10.74,6.92,4.52,2.64,0,4.54,4.48,17.22,50.52,41.02,42.8682932734714,76.76,67.74,0.283776230433346,0.117513578069634,0.294609274684379,0.0852227466708965,1.25500778390277,0.458574172310652,NA,-0.043469631785927,0.907114268004748,0.083393720044549,0.433353398681093,0.0301168602639191,0.577123242034709,0.0340766474333568,0.60441056818998,0.292403637789729
"32",32,10.74,0,0,0,0,0,10.82,1.16,10.82,44.18,30.78,NA,66.98,55,0.323129843996518,0.17901325992692,0.219150256518978,0.0259222673643973,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.181205021546624
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,0,32.62,0,0,0,0,14.56,17.78,7.76,37.58,61,NA,77.68,45.34,0.287466732392542,0.41677611130051,0.189158880832761,0.389239735911694,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.557514410752887
"36",36,32.62,21.44,12.22,2.34,0,0,17.2,7.98,24.62,30.74,68.68,49.9727759541066,80.54,55.36,0.518843316292417,0.311907675522656,0.592904033241018,0.232761609956928,0.991087924574542,0.566451851160436,NA,NA,0.885113811132977,0.494317007652837,0.516922925815621,0.291129629470001,0.743368644267681,0.352571840787542,0.844148644269387,0.614341205897678
"37",37,21.44,0,0,0,0,0,6.36,0.82,22.52,16.2,33.42,NA,45.9,38.72,0.628984894710911,0.15589650596404,0.877702330382814,0.0489786089674586,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.229371047339314
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,0,0,0,0,0,0,0.12,0.54,0,17.02,1.04,NA,17.68,17.02,0.00659021327829377,0.0375749530229272,0,0.0320674615937111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022328062804069
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,0,0,0,0,0.04,0,0,0,0,17.56,0,NA,17.56,17.56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"46",46,0,26,0,0,0,0,8.76,26.16,3.1,14.46,42.48,NA,52.48,17.56,0.225937779666638,0.666447758267574,0.196137305981293,1.04252946039874,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.312781723178782
"47",47,26,15.28,9.68,3.14,0,0.7,24.04,9.86,12.92,27.7,62.18,50.6608535047639,74.52,40.62,0.49531462833482,0.453808823008489,0.384197028119826,0.305870870083033,0.998289491091805,0.459705538290355,0.853652948024085,NA,0.773120905969283,0.362841966226337,0.441642872702882,0.135857014416612,0.591361956171256,0.152321712025457,0.756632774088656,0.555014237768844
"48",48,15.28,10.3,6.58,1.04,0.38,2.04,15.26,5.62,9.18,28.38,42.24,29.869854503278,58.44,37.56,0.41757914713862,0.356664510999072,0.281279476303563,0.181396593108729,0.852928324629365,0.460029255289207,0.442874554209408,0.174256620338649,0.529719514011216,0.355802284491772,0.383148319617595,0.245749472749473,0.500899291132037,0.296014502991789,0.872066378066378,0.429188736903278
"49",49,10.3,5.02,4.14,2,1.38,0,2.18,0.7,5.8,28.2,14.72,13.7487812762834,36.88,34,0.215610422481235,0.0763595013862415,0.188301468903129,0.0243860273959705,0.937503510035574,0.196312981693329,NA,0.0516764386256091,0.706240358375164,-0.0616856534983649,0.337481879231879,-0.0350952380952381,0.434320116930641,-0.0290928411033325,0.679388888888889,0.215284019502408
"50",50,5.02,0,0,0,0,0,4.44,0.32,5.94,22.96,14.54,NA,33.66,28.9,0.309492795083602,0.142016375668166,0.232692122818374,0.0141110411535213,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.167884333722892
"51",51,0,0,0,0,0,2.52,1,0,0,23.28,1,NA,24.28,23.28,0.0416676646247861,0.0416676646247861,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"52",52,0,0,0,0,2.52,0,0,0,0,23.28,0,NA,23.28,23.28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"53",53,0,11.74,0,0,0,0,10.4,24.2,2.6,20.68,44.22,NA,57.88,23.28,0.223898322303617,0.597553270142291,0.119435108584988,0.778639514550077,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.341986397222526
"54",54,11.74,8.18,5.2,8.24,0,10.88,3.26,12.16,2.04,42.84,27.86,48.5540102876795,60.3,44.88,0.0876459974705409,0.254324342016289,0.0467087600605257,0.249961201465778,0.847754340668367,0.478469452864062,0.0370017782462994,NA,-0.196301941986985,0.202743902256144,-0.030417205825538,0,-0.0287383187749161,0,0.390754226165991,0.242626932524949
"55",55,8.18,22.14,6.48,7.78,12.86,3.28,12.8,13.62,3.18,51.82,45.16,62.9977247531371,81.42,55,0.196118036190716,0.324260615856387,0.0598486887736948,0.233847559787844,0.243026889162642,1.25028398194449,-0.0745887312684232,0.266777099857892,-0.0962332084272925,0.0960080033034168,-0.0804348380377792,0.0930577820185874,-0.0758911973516059,0.101780572675291,0.456362130129932,0.300437293512464
"56",56,22.14,22.68,8.56,3.06,6.68,3.86,20.08,17.5,18.96,46.48,79.38,66.9255689127815,103.02,65.44,0.378953763523457,0.364550815930088,0.344424560159311,0.321355397477417,0.975247784325916,1.0039834021112,0.3891655923211,0.193230839689137,0.505753893746023,0.346139839276116,0.360280227548624,0.264274243916179,0.465849845168891,0.317810144780501,0.736342866284043,0.493181962720443
"57",57,22.68,18.72,12.72,9.94,2.9,5.08,8.5,8.36,8.54,55.44,46.96,51.9832389286618,80.84,63.98,0.210127144898522,0.208271851287641,0.142501070766538,0.139489069382307,0.587143977876801,0.391661424652296,0.176511481433722,0.0740458042212316,0.162759872860967,0.115719527552986,0.0409754987769569,0.00853281241774495,0.0439754485165065,0.0093316784632842,0.564277716198686,0.390327580202554
"58",58,18.72,19.06,10.02,5.04,5.24,2.76,18.94,10.78,12.42,51.38,62.92,57.9538294603222,93.52,63.8,0.335634611641097,0.318464565217346,0.216965211129383,0.191136482808391,0.626268006922501,0.648301248743144,0.350897583234329,0.0622190567383275,0.286605979046771,0.171935100029066,0.13240676725236,0.122389134592433,0.148923928256971,0.134696446282872,0.668028350476493,0.405725079548225
"59",59,19.06,12.88,8.3,2.56,2.18,7.9,9.02,10.74,8.38,53.78,47.24,38.099643431383,81.92,62.16,0.212331268486256,0.241504875779437,0.145530143838818,0.183102261212107,0.845748473750815,0.452640713165201,0.0958172469623217,0.0420082167221219,0.148480641008503,0.171438724977468,0.133379709539549,0.134932153587726,0.153838925854269,0.151074136541532,0.765961038961039,0.357196662104892
"60",60,12.88,12.96,8.64,9.48,5.74,3.1,2.64,3.44,2.98,61.54,22.86,29.8100115999426,70.6,64.52,0.0791007181882501,0.0853953530969863,0.0476351711357571,0.0543162419543904,0.41278045146244,0.413966400727726,0.143858908958583,0.138595977039554,0.056746023344758,-0.0624499223586765,-0.0137489986494563,-0.0632139397036759,-0.0123863950532784,-0.0587312504179322,0.478335567671885,0.225893893839312
"61",61,12.96,12.04,5.24,1.52,4.02,1.5,17.98,11.94,12.4,52.58,60.24,48.7089241571864,94.9,64.98,0.320422870258775,0.315893674163938,0.21198840353596,0.205861432200866,0.924097726125398,0.84989609111562,0.396697833641905,0.0999648643271275,0.568473059812139,0.230483116705813,0.356340246354952,0.198947335344394,0.463173283040115,0.234526989324732,0.779404761904762,0.342114283697911
"62",62,12.04,4.16,2.88,1.88,0.54,15.5,6.1,4.34,4.84,59.68,28.14,30.8318389289644,74.96,64.52,0.1458949818566,0.138927623048402,0.0784883555083143,0.0704336654346644,1.4795493830548,0.390114839984842,0.175230501737784,0.121193297480986,-0.380887075398566,0.139872500416341,-0.00206818181818182,0.0876269841269841,-0.00192685408837028,0.103726915843517,0.618809523809524,0.216488758570204
"63",63,4.16,4.88,3.76,9.72,11.04,1.04,0.6,0.38,1.84,62.18,8.24,18.9176412484418,65,64.02,0.0370443297638612,0.014706689458524,0.0290108612505852,0.00597374510174275,0.0976085947688263,0.264811259858919,-0.0557002248447668,-0.262588632624574,-0.0429914442900302,-0.522003829867656,-0.0590875594993242,-0.279766981384628,-0.0550422575588474,-0.242735226020607,0.282048412371942,0.0874335930136382
"64",64,4.88,19.8,2.52,0.34,5.64,1,13.42,7.06,11.58,50.98,55.36,40.6987988771091,83.04,62.56,0.301030888547199,0.246827536559394,0.204858796204511,0.130912036859634,0.755067717035194,2.18243789453659,0.39940561823424,0.878119013219566,0.34751835064037,0.877100972272479,0.225333333333333,0.567559668255347,0.292949532825371,0.862622595487945,0.883666666666667,0.458337226254397
"65",65,19.8,15.12,7.88,3.3,0.24,5.5,9.16,8.32,10.54,47.5,44.94,39.2639184119348,75.52,58.04,0.261338056494335,0.231496116106544,0.201418978061953,0.161736902173108,0.939902174959875,0.664772065599566,0.502778512827297,0.511463245985973,0.329832964527121,0.487146068956286,0.259582435760697,0.253836758528709,0.308084914347226,0.306323927716473,0.707454129204129,0.357422177514428
"66",66,15.12,17.22,10.1,5.46,4,2,11.48,5.62,5.98,49.84,39.3,37.2162287108398,72.92,55.82,0.238888267559063,0.2339048047921,0.113496014213994,0.107180977163833,0.406174594486041,0.538084414469176,0.0694399335069295,0.182422315668222,0.15591426019719,0.14980543983786,0.0639871100332939,0.110194264249184,0.069605058231398,0.121063686647275,0.651675967994853,0.326626529872723
"67",67,17.22,11.04,4.26,1.62,3.54,2.72,7.5,6.12,13.24,42.22,41.36,35.8293073762494,69.08,55.46,0.299394774451972,0.196024824194092,0.273336166103534,0.135020547326256,1.43965876470456,0.991075796869214,0.794185612755263,0.553952134736635,0.805720240561226,0.306795292232171,0.501545649609958,0.228334436805025,0.723455994233505,0.273094766837006,0.732349206349206,0.345742220703646
"68",68,11.04,6.96,4.7,4.12,1.18,0.46,10.62,1.84,10.1,38.24,30.2,35.9120813312324,60.8,48.34,0.339478795654894,0.20359090759885,0.235389151479893,0.0477580809408662,0.869866648497315,0.387325310610088,0.562467998475859,0.0505906496309756,0.496967966227885,0.101576608603569,0.159593068266443,0.0273763458763459,0.186260849737193,0.033373899846845,0.540596681096681,0.201016701407343
"69",69,6.96,13.94,1.32,0.6,0.56,2.04,32.66,26.26,7,33.08,76.08,65.7386848091809,99,40.08,0.400877267126391,0.595402537529582,0.193352491294561,0.586964372937415,1.53127305567109,2.24745154707251,0.908283115798654,1.60598755747424,0.68249525955774,1.80304310366734,0.463697802197802,0.80209678067031,0.686958130584025,1.66182064040261,0.686594202898551,0.310067687318392
"70",70,13.94,20.72,8.66,7.46,1.18,5.48,12.76,14.5,2.2,57.14,43.48,50.5328670124964,86.6,59.34,0.172043883810402,0.314462771809276,0.0375741452144271,0.226646288541903,0.483121717374864,0.883541579630448,0.214775607220284,0.577133667523395,-0.00981217803883132,0.489703735239193,-0.00788384547455755,0.192349935916137,-0.00634398356463357,0.219559030091895,0.538136193613748,0.24589574781117
"71",71,20.72,39.82,12.88,3.9,7.62,5.18,17.9,33.8,6.98,64.66,85.74,68.4916563994005,123.34,71.64,0.201364079264956,0.419007204285001,0.102921866787536,0.421563452028068,0.480430271608206,1.13842482854826,0.0674220492042565,0.503811105309813,0.113586881532611,0.585047503672393,0.0905990856164769,0.435531696077824,0.0981014006674776,0.577293779801354,0.769006569453938,0.41911289771749
"72",72,39.82,38.9,23.86,12,4.46,8.74,17.4,15.82,13.82,84.64,84.76,78.1364728062444,131.68,98.46,0.236710368897377,0.251876029403517,0.1517414824396,0.17156075132709,0.517507947510828,0.493681918864514,0.189006742817341,0.225335808709935,0.151590553964828,0.233805192817795,0.0881450547617885,0.0826715964991568,0.0949875194588598,0.0887750415914943,0.665929054426194,0.446684938556013
"73",73,38.9,44.38,23.62,9,9.36,4.82,30.5,18.12,17.94,82.52,106.38,90.0038693209621,149.08,100.46,0.324832442043791,0.326163853398462,0.197462695703372,0.199427825735829,0.503744778884873,0.636622760235491,0.227860399800033,0.223614537831542,0.247838614864245,0.241836751602597,0.123833626718076,0.190302800461838,0.135001772205418,0.21406457192847,0.722705361683602,0.483895253009913
"74",74,44.38,35.64,21.48,6.8,4.52,6.16,25.02,16.98,26.6,74.04,105.66,84.8067642096181,142.64,100.64,0.361897039785611,0.294315252250454,0.307772059404474,0.207004457199466,0.728584544018565,0.510229848720034,0.330258920497171,0.181728644026548,0.397409048929131,0.258680771684655,0.264399481412022,0.170307264586597,0.310814225533855,0.188991882612885,0.761199221633317,0.501809143376942
"75",75,35.64,25.78,17.3,8.3,3.78,6.94,15.84,10.8,18.48,72.54,74.42,67.7215485042463,117.66,91.02,0.29137709266337,0.226679288899972,0.226803551680574,0.138990386504782,0.732336511932355,0.403315351652057,0.306607663526906,0.127430972567217,0.302166321353851,0.148318352676496,0.199390018397388,0.0719567349093078,0.226338824588604,0.0771888951504386,0.675923626679887,0.404489501341287
"76",76,25.78,17.18,9.28,4.88,5.86,10.48,14.2,12.76,13.68,69.66,65.34,61.7077582584343,110.3,83.34,0.252764262982128,0.244272817421165,0.179807124663127,0.168400421743124,1.03115584646806,0.62650388685386,0.381088115087752,0.228178263332466,0.218319596686784,0.0987896702547908,0.187959739872052,0.0903196661335105,0.213779950134356,0.0990435518784878,0.662462679477385,0.355428887697055
"77",77,17.18,25.3,13.12,11.88,7.08,3.34,5.38,8.08,5.24,77.18,43.64,50.9137478975246,95.88,82.42,0.11067749587783,0.140544142855194,0.0655666098253064,0.0996357985406778,0.271397559800723,0.660386132956284,0.078393733533757,0.234657284550835,0.0258878674259186,0.147661986594391,-0.0140866680655891,0.091234757558287,-0.0135193700857592,0.0977409632336804,0.525007648290407,0.323501055771429
"78",78,25.3,31.52,16.52,3.44,8.62,4.12,9.12,10.38,9.04,76.22,64.84,47.9232514610157,104.76,85.26,0.173435843203343,0.186368681154604,0.11240332488656,0.128244487303232,0.429142497639761,0.65087932636894,0.158919311485562,0.000811594988631484,0.179061511830026,0.202791726719087,0.128699163177695,0.16022268559273,0.141527329222329,0.177991375159915,0.828183316201455,0.476874382066062
"79",79,31.52,23.4,18.94,5.82,2.9,11.4,6.54,9.06,9.12,77.48,56.78,45.3575095789584,102.2,86.6,0.153189834944561,0.152727716876377,0.111577592120403,0.110896520006432,0.513421328083775,0.211322325808141,-0.0409847688500732,0.0183184995411747,0.032237729513366,0.0557349420903276,0.0403334833796912,0.0197264800115876,0.0425042388048535,0.0212217541265086,0.766562242682633,0.414558783682266
"80",80,23.4,21.78,13.6,9.92,7.9,4.44,10.96,6.5,10.96,75.58,54.1,57.659835932603,104,86.54,0.21089157215365,0.167873182748124,0.135925297481533,0.0826981713583224,0.548181056949346,0.476884712933029,0.263614403664327,0.20666152677883,0.175933712927922,0.00875679297438803,0.0534515784776769,0.0191863168083681,0.0569430864638668,0.0201253248065356,0.581506122777976,0.340159054978885
