"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,17.12,NA,NA,NA,NA,2.6,31.68,NA,NA,34.28,NA,34.28,NA,0.075522540935966,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,17.12,18.1,10.4,5.3,NA,3.96,5.06,21.96,0.78,30.9,44.14,39.901290645291,58.7,31.68,0.0990404325255569,0.459169737346262,0.0250330956731348,0.536511454624315,0.504699766130714,0.560499408711307,0.0585487420735925,NA,0.133326416369,NA,0.0751410399414976,NA,0.0810601291794802,NA,0.662791577359689,0.530053105558692
"3",3,18.1,13.6,8.72,4.82,4.54,0,0.84,10.04,0.54,52.32,34.28,31.8324931587554,63.74,52.86,0.0218290362981655,0.170635633703409,0.0106204116334065,0.176314523213671,0.740201987772695,0.456653642959624,NA,0.0364258859073129,0.531054798385661,0.0202533338706362,0.201846738403408,-0.00214452385905475,0.233000590394598,-0.000611215656514076,0.647061471380357,0.437661402866152
"4",4,13.6,0,0,0,0,0,2.9,18.68,2.02,60.34,42.52,NA,83.94,62.36,0.0585818196200133,0.257224855122364,0.0328649973987857,0.27039718394839,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.313928598411869
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,0,24.38,0,0,0,0,9.88,20.6,1.38,77.64,67.7,NA,109.5,79.02,0.102752822031451,0.278156015007279,0.0175536951407098,0.235411123303862,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.462040745826969
"8",8,24.38,22.42,15.22,6.06,0,14.68,1.18,5.86,3.48,94.76,43.98,36.4599633002479,105.28,98.24,0.0442621180567557,0.0668379676452172,0.036266158731676,0.0602146271002963,0.474519164118795,0.389671274189274,0.00796651428364423,NA,-0.166641547394815,0.29268865041572,-0.0157248856792549,0.0605648707238971,-0.0150178686357028,0.0645099058628589,0.717336468881024,0.353283402972926
"9",9,22.42,18.32,13.8,8.14,12.14,4.08,2.38,6.74,6.24,94.38,43.54,41.1368297009642,109.74,100.62,0.0784189985357381,0.0831093972337052,0.0639454644031763,0.0690379446119328,0.488492835429536,0.284823690156185,0.185309045232226,-0.0526194441302558,0.161595735799034,-0.254473836128906,0.032239215586227,-0.0524593220816609,0.0342444442357412,-0.049779076335233,0.630968425723332,0.298729871390148
"10",10,18.32,12.96,9.44,3.24,3.36,11.22,7.08,5.78,2.54,98.58,53.94,43.3735988893702,113.98,101.12,0.0843668911226243,0.112758090760406,0.0255241918283395,0.0570333914816205,0.673392022976681,0.323937045803867,-0.0848013624018796,-0.142615604031283,-0.103946579367215,0.0108859935279239,0.00829313649313649,0.0251579211981689,0.00858435626387738,0.0286107813222376,0.745308056322762,0.391008031640225
