genus,binno
Nankinella,52
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Dunbarula,53
Dunbarula,53
Eostaffella,53
Eoverbeekina,53
Eoverbeekina,53
Lantschichites,53
Leella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nanlingella,53
Nanlingella,53
Nanlingella,53
Nanlingella,53
Nanlingella,53
Nanlingella,53
Nanlingella,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Paradoxiella,53
Parareichelina,53
Parareichelina,53
Parareichelina,53
Parareichelina,53
Primoriina,53
Pseudoendothyra,53
Pseudoendothyra,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Schubertella,53
Sichotenella,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Sphaerulina,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Staffella,53
Reichilina,53
Reichilina,53
Reichilina,53
Reichilina,53
Reichilina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Leella,53
Nankinella,53
Nankinella,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Gallowayinella,53
Gallowayinella,53
Gallowayinella,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Palaeofusulina,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Nankinella,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Pisolina,53
Codonofusiella,53
Codonofusiella,53
Codonofusiella,53
Palaeofusulina,53
Palaeofusulina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Reichelina,53
Codonofusiella,53
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Dunbarula,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Neoschwagerina,54
Palaeofusulina,54
Palaeofusulina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Schubertella,54
Schubertella,54
Schubertella,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Sphaerulina,54
Staffella,54
Staffella,54
Staffella,54
Staffella,54
Staffella,54
Staffella,54
Staffella,54
Staffella,54
Reichilina,54
Reichilina,54
Reichilina,54
Reichilina,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Pseudodunbarula,54
Reichelina,54
Reichelina,54
Reichelina,54
Sichotenella,54
Sichotenella,54
Leella,54
Leella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Dunbarula,54
Dunbarula,54
Dunbarula,54
Dunbarula,54
Nankinella,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Gallowayinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nanlingella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Nankinella,54
Sphaerulina,54
Sphaerulina,54
Schubertella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Schubertella,54
Codonofusiella,54
Codonofusiella,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Reichelina,54
Schubertella,54
Schubertella,54
Codonofusiella,54
Ogbinella,54
Ogbinella,54
Ogbinella,54
Ogbinella,54
Ogbinella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Codonofusiella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Laibinella,54
Lantschichites,54
Lantschichites,54
Lantschichites,54
Lantschichites,54
Afghanella,55
Afghanella,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Boultonia,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Chusenella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Codonofusiella,55
Colania,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Dunbarula,55
Eoverbeekina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Kahlerina,55
Lantschichites,55
Lantschichites,55
Leella,55
Leella,55
Metadoliolina,55
Minojapanella,55
Minojapanella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
Nankinella,55
