"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,0,NA,NA,NA,NA,0.06,0.94,NA,NA,1,NA,1,NA,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,0,0,0,0,0,0,0,0,0,0.94,0,NA,0.94,0.94,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6",6,0,0,0,0,0,0,0,0,0,0.94,0,NA,0.94,0.94,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,1,0,0,0,0,0,1,0,0.94,1,NA,1.94,0.94,0,0.53,0,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
"9",9,1,0.7,0.7,0,0,0.18,0,0,0,1.94,1,0.567431375972971,1.94,1.94,0,0,0,0,0,0,0,NA,0,0,0.12,0,0,0,1,0.53
"10",10,0.7,0.5,0.4,0.18,0,0.36,0,0.14,0,1.94,1,0.588018189755317,2.08,1.94,0,0.0466666666666667,0,0.056765115135143,0,0,0,0,0,0.0478032538317204,0.0681818181818182,0.125,0,0.0478032538317204,0.689655172413793,0.46
"11",11,0.5,0.56,0.4,0.3,0.22,0.06,0,0.2,0,2.08,1.22,0.759940278073914,2.28,2.08,0,0.07,0,0.0868466630706685,0,0,0,0,0,0,0.125,0.0697674418604651,0,0,0.571428571428571,0.5
"12",12,0.56,0.86,0.5,0.08,0.3,0,0,0.02,0,2.28,1.02,0.584507475769249,2.3,2.28,0,0.00666666666666667,0,0.00810930216216329,0,0,0,0,0,0,0.09375,0.127659574468085,0,0,0.862068965517241,0.466666666666667
"13",13,0.86,0.92,0.78,0,0.08,0.02,0,0,0,2.3,1,0.564828368052308,2.3,2.3,0,0,0,0,0,0,0,0,0,0,0.0697674418604651,0.0652173913043478,0,0,1,0.463333333333333
