genus,binno
Circulina,28
Circulina,29
Circulina,29
Circulina,46
Circulina,46
Carinaknightina,48
Kirkbya,48
Triassicindivisia,50
Triassicindivisia,50
Triassicindivisia,50
Triassicindivisia,51
Triassicindivisia,51
Palaeocopida,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Knightina,52
Langdaia,52
Indivisia,52
Indivisia,52
Knoxiella,52
Knoxiella,52
Knoxiella,52
Shemonaella,52
Shemonaella,52
Shemonaella,52
Shemonaella,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Langdaia,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Carinaknightina,52
Carinaknightina,52
Carinaknightina,52
Paegnium,52
Paegnium,52
Paegnium,52
Paegnium,52
Paegnium,52
Paegnium,52
Paegnium,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Hollinella,52
Carinaknightina,52
Carinaknightina,52
Carinaknightina,52
Hollinella,52
Langdaia,52
Langdaia,52
Knoxiella,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Reviya,52
Eukloedenella,52
Aurikirkbya,53
Cyathus,53
Cyathus,53
Cyathus,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Hollinella,53
Kirkbya,53
Kirkbya,53
Kirkbya,53
Kirkbya,53
Kirkbya,53
Kirkbya,53
Kirkbya,53
Kloedenellitina,53
Knightina,53
Knightina,53
Knightina,53
Langdaia,53
Langdaia,53
Mennerella,53
Mennerella,53
Mennerella,53
Mennerella,53
Mennerella,53
Mennerella,53
Moorites,53
Moorites,53
Moorites,53
Moorites,53
Moorites,53
Moorites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Paraparchites,53
Permoyoungiella,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Polytylites,53
Pseudobeyrichiopsis,53
Reviya,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Shleesha,53
Shleesha,53
Indivisia,53
Indivisia,53
Indivisia,53
Indivisia,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Shemonaella,53
Shemonaella,53
Shemonaella,53
Shemonaella,53
Shemonaella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Permoyoungiella,53
Permoyoungiella,53
Amphissites,53
Amphissites,53
Amphissites,53
Aurikirkbya,53
Aurikirkbya,53
Aurikirkbya,53
Aurikirkbya,53
Italogeisina,53
Italogeisina,53
Italogeisina,53
Italogeisina,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Knoxiella,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Sargentina,53
Langdaia,53
Langdaia,53
Neoulrichia,53
Neoulrichia,53
Glyptopleurina,53
Glyptopleurina,53
Glyptopleurina,53
Kirkbyidae,53
Kirkbyidae,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Parahollinella,53
Parahollinella,53
Parahollinella,53
Parahollinella,53
Parahollinella,53
Roundyella,53
Roundyella,53
Roundyella,53
Roundyella,53
Roundyella,53
Shleesha,53
Shleesha,53
Shleesha,53
Shleesha,53
Shleesha,53
Shleesha,53
Roundyella,53
Roundyella,53
Coelonella,53
Coelonella,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Paraparchites,53
Kellettina,53
Libumella,53
Libumella,53
Amphissites,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Cyathus,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Knightina,53
Shleesha,53
Aurikirkbya,53
