"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,5.94,NA,NA,NA,NA,6.04,19.32,NA,NA,25.36,NA,25.36,NA,0.23854188034188,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,5.94,11.84,0.34,0.98,NA,8.16,3.52,27.78,0.04,19.28,37.24,39.9469610164658,50.62,19.32,0.0700405751108014,0.618494988265716,0.00205714770879416,0.894277402498858,1.84042557220598,2.49743812580389,0.850170493472062,NA,-0.316418065654164,NA,0,NA,0,NA,0.211111111111111,0.306535425015301
"3",3,11.84,5,3.56,7.1,4.6,0,8,10.74,2.06,45,31.56,57.3968653711586,65.8,47.06,0.153046679090342,0.284617021879022,0.0450175849506559,0.214079319940424,1.22807312308415,0.352408658385096,NA,-0.376874502994124,0.577218679581865,-0.234448329960213,0.0779888748162742,-0.166348817848818,0.0863953306391626,-0.150941412644385,0.335312687312687,0.239026918559472
"4",4,5,0,0,0,0,5.32,7.28,25.92,0.28,55.46,49.78,NA,88.94,55.74,0.0848458388663682,0.373323622100378,0.00500321390730718,0.383963454575638,NA,NA,NA,NA,-0.0485667259659921,NA,0.0837619047619048,NA,0.0977014414224182,NA,NA,0.294122112264958
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,0,0,0,0,0,0,3,3.16,4.08,77.3,34.22,NA,87.54,81.38,0.0807283017438545,0.0701372791465061,0.0515346249044705,0.0400537712898923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31033461627137
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,36.28,0,0,19.56,0,13.32,19.58,5.6,74.86,74.16,NA,113.36,80.46,0.166810942165202,0.29004231435676,0.0723793402592704,0.232525650507366,NA,NA,NA,NA,NA,0.622348231923889,NA,0.459993104458275,NA,0.622348231923889,NA,0.476374594048277
"9",9,36.28,0,0,0,0,0,19.8,16.2,23.74,70.7,89.8,NA,130.44,94.44,0.333688184980804,0.27594540124016,0.289448945092681,0.206154389663723,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.425545736945987
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,0,30.16,0,0,0,0,6.4,12.14,5.56,81.34,46.88,NA,105.44,86.9,0.113303528760007,0.175495639949611,0.0661361681371145,0.139043949671159,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.280414893552595
"16",16,30.16,36.46,12.56,2.56,0,0,57.72,13.8,33.62,59.86,142,97.1698193261725,165,93.48,0.553825635018709,0.433589316000868,0.447374006319685,0.207979945010683,0.883840164418917,1.07427354752278,NA,NA,0.778760619814037,0.956328994112165,0.460951846084346,0.54671049429817,0.626825324022214,0.804393698320342,0.83357623516834,0.61699874035051
"17",17,36.46,0,0,0,0,0,11.44,6.96,36.52,37.14,62.48,NA,92.06,73.66,0.521034468517111,0.199959282246281,0.686707327354485,0.172996395979307,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.203586548601279
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,0,0,0,0,0,0,1,0,0,44.1,1,NA,45.1,44.1,0.0222846404995251,0.0222846404995251,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,0,10.56,0,0,0,0,6.88,9.64,2.6,41.5,25.8,NA,60.62,44.1,0.15621807799423,0.272074080341119,0.0606916266620387,0.208711175612356,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.160819040013524
"24",24,10.56,28.7,6.42,2.82,0,2.08,21.82,48.38,2.66,48.48,89.22,74.5273628789169,121.34,51.14,0.201117700909959,0.578423422180543,0.0529731411940298,0.693682495150988,0.510516035989184,1.52198717181926,0.111430357354365,NA,0.170855008778041,1.24284757272258,0.0828314512285101,0.618286194225195,0.0922926388695278,0.98435502238724,0.699445332445332,0.336744790545774
"25",25,28.7,15.92,11.94,5.86,1.54,28.38,17.56,21.98,10.7,86.16,80.42,68.174953446929,136.4,96.86,0.207341378248452,0.289953780986769,0.117436485328307,0.227545980850129,0.879867661258741,0.291598577568284,-0.16349787907097,-0.0814709608578604,-0.292100672528743,0.122332576348644,0,0.0176430998444728,0,0.0186408574242458,0.674734111347888,0.350432624672055
"26",26,15.92,16.5,9.14,16.76,24.72,0,9.64,5.42,7.16,100.98,40.1,64.8201800829098,123.2,108.14,0.136403254916051,0.122361943873239,0.068453135218603,0.0523505913248453,0.55832320228406,0.593055722392167,NA,0.193970043757348,0.234305589608455,-0.423044064819727,0,-0.173014676574297,0,-0.158061618151297,0.354431332133803,0.177222423018799
"27",27,16.5,0,0,0,0,13.8,27.58,12.32,24.22,82.18,99.92,NA,146.3,106.4,0.354070446648185,0.272734612523619,0.258836893484408,0.140145570193913,NA,NA,NA,NA,0.179818776376874,NA,0.16137619784756,NA,0.183780174652116,NA,NA,0.435559714971719
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,28.08,0,0,29.9,0,14.08,16,22,72.5,79.72,NA,124.58,94.5,0.289638858067555,0.241449142708274,0.265426823317541,0.19958954509922,NA,NA,NA,NA,NA,-0.0605069595258765,NA,0.0196560532739621,NA,0.0210487254679743,NA,0.38179931074216
"30",30,28.08,24.38,6.76,4.14,0,3.8,19.14,14.86,32.38,56.12,92.64,85.2121892626331,122.5,88.5,0.420693779271918,0.277767073301667,0.456187593823985,0.235073492066366,1.42896367797626,1.28846274014242,0.957173887382516,NA,0.790141412838213,0.966285155497059,0.514402509590543,0.473272727713106,0.729857621326786,0.648330935253152,0.623681041181041,0.468311813383942
"31",31,24.38,12.78,8.06,4.74,3.54,0,5.98,4.18,15.96,55.02,43,39.3919291388536,81.14,70.98,0.270802454507233,0.125538748303211,0.255743578978437,0.0736798879251705,1.12722317619395,0.474458054181721,NA,-0.00462538958546715,0.832145526544024,0.0724891631387639,0.40002169952752,0.0292803331859059,0.519535098787054,0.0335235060664493,0.630228931199519,0.30744625810414
"32",32,12.78,0,0,0,0,0,11.68,1.46,13.1,46.1,34.78,NA,72.34,59.2,0.342762772745855,0.181932529944002,0.250744330032806,0.0314706032173523,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.185455225308945
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,0,33,0,0,0,0,15.4,18.6,6.88,40.68,63,NA,81.56,47.56,0.2736264177254,0.417463300721644,0.157605835723511,0.378082464928765,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.54550303000735
"36",36,33,23.56,13.9,3.26,0,0,17.84,8.3,23.5,35.78,70.02,49.5635126210366,85.42,59.28,0.483413109130229,0.305512880862615,0.506458083407722,0.209640033002533,0.875578053138106,0.537628531645907,NA,NA,0.752747666793927,0.450471565835303,0.436725565373179,0.239070558287505,0.580176280059911,0.277900179101288,0.808903549752621,0.5703555069853
"37",37,23.56,0,0,0,0,0,7.38,0.8,25.92,18.16,38.3,NA,52.26,44.08,0.636911178793284,0.15547908636051,0.892862476893642,0.0431408295018834,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.230283887079553
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
