genus,binno
Acaciapora,67
Acaciapora,67
Acaciaporella,57
Acanthionella,16
Acanthionella,17
Acanthoceramoporella,84
Acanthoceramoporella,84
Acanthochaetetes,2
Acanthochaetetes,3
Acanthochaetetes,22
Acanthochaetetes,24
Acanthochaetetes,26
Acanthochaetetes,28
Acanthochaetetes,28
Acanthochaetetes,29
Acanthochaetetes,36
Acanthocladia,53
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,54
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,55
Acanthocladia,56
Acanthocladia,56
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,57
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,58
Acanthocladia,59
Acanthocladia,59
Acanthocladia,59
Acanthocladia,59
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,60
Acanthocladia,61
Acanthocladia,62
Acanthocladia,62
Acanthocladia,64
Acanthocladia,65
Acanthoclema,57
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,71
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,72
Acanthoclema,73
Acanthoclema,80
Acanthoclema,80
Acanthoclema,80
Acanthoclema,80
Acanthoclema,81
Acanthoclema,81
Acanthocoryna,58
Acanthodesia,2
Acanthodesia,2
Acanthodesia,6
Acanthodesia,11
Acanthodesia,14
Acanthodesia,14
Acanthodesia,15
Acanthodesia,15
Acanthohalysites,81
Acanthohalysites,81
Acanthopora,32
Acanthostictoporella,71
Acanthostictoporella,71
Acanthostictoporella,71
Acanthostictoporella,73
Acanthostictoporella,73
Acdalopora,85
Achrochordiella,17
Acidolites,83
Acidolites,83
Acoelocalyx,26
Acrochordonia,24
Acrochordonia,24
Acrochordonia,24
Acrochordonia,24
Acrochordonia,24
Acrochordonia,27
Acrochordonia,28
Acrochordonia,30
Acrogenia,71
Acrogenia,71
Acrogenia,71
Actinocoelia,53
Actinocoelia,54
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinocoelia,58
Actinodictyon,71
Actinodictyon,77
Actinodictyon,78
Actinodictyon,78
Actinodictyon,79
Actinodictyon,80
Actinodictyon,80
Actinodictyon,80
Actinodictyon,82
Actinopora,22
Actinopora,23
Actinopora,23
Actinopora,25
Actinospongia,48
Actinospongia,48
Actinospongiella,46
Actinostroma,69
Actinostroma,69
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,70
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,71
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
Actinostroma,72
