"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,5.78,NA,NA,NA,NA,6.36,19.12,NA,NA,25.48,NA,25.48,NA,0.249733618233618,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,5.78,11.94,0.2,1,NA,8.12,3.68,27.98,0.02,19.1,37.44,35.6184852761111,50.78,19.12,0.0728227429894448,0.623645064420112,0.00108134442540552,0.903746352879641,1.89066207124965,2.54636013495965,0.815758683261193,NA,-0.322712185226066,NA,0.00186507936507937,NA,0.00291907825246159,NA,0.141304347826087,0.302578393398827
"3",3,11.94,5,3.52,7.06,4.7,0,8.16,10.42,2.2,44.88,31.52,55.1734876534069,65.66,47.08,0.157870489542503,0.282961673042942,0.0482183371111885,0.209104477640362,1.24709388776599,0.356444904997434,NA,-0.199779755263933,0.589895637277193,-0.240142219837939,0.0902371738168952,-0.170127816627817,0.0994797512917652,-0.153047748257925,0.331608613608614,0.239726501894949
"4",4,5,0,0,0,0,5.56,7.28,25.72,0.14,55.16,49.58,NA,88.3,55.3,0.084001636335471,0.373776486549187,0.00259397212991852,0.383356065935489,NA,NA,NA,NA,-0.107486757532692,NA,0.0694285714285714,NA,0.0822373322002051,NA,NA,0.298271848264939
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,0,0,0,0,0,0,3.04,3.06,3.88,77,34.32,NA,86.98,80.88,0.0793821460673428,0.0699238853560592,0.0492659860602372,0.0389268793884129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316239490720514
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,36.28,0,0,19.44,0,13.22,19.68,5.3,74.76,74.3,NA,112.96,80.06,0.163990426496597,0.291277715342516,0.0687370341133176,0.234060294964831,NA,NA,NA,NA,NA,0.629245146294642,NA,0.463576022016037,NA,0.629245146294642,NA,0.482873871342826
"9",9,36.28,0,0,0,0,0,20.04,16.24,23.86,70.58,90.12,NA,130.72,94.44,0.335878422956167,0.27743168686173,0.291545475140638,0.207110267570786,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.424893608094033
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,0,30.08,0,0,0,0,6.5,11.64,5.34,81.48,46.68,NA,104.96,86.82,0.112550342389415,0.172677948483756,0.0635364497747193,0.133751881409217,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.284830287953415
"16",16,30.08,36.28,13.02,2.6,0,0,57.9,13.64,33.62,59.5,142,94.5333400822324,164.66,93.12,0.555940693949361,0.434570488686496,0.448624176157906,0.206736462891683,0.848399438877218,1.03593178923524,NA,NA,0.747348082903775,0.921532436291018,0.443715245364562,0.531874425035473,0.594980134160286,0.769164487547528,0.833951415199867,0.620272748428935
"17",17,36.28,0,0,0,0,0,11.5,6.84,36.48,36.66,62.3,NA,91.48,73.14,0.524694451801105,0.200425894662304,0.692866817826398,0.170882220070709,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.204004694180195
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,0,0,0,0,0,0,1,0,0,43.5,1,NA,44.5,43.5,0.022620872143885,0.022620872143885,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,0,10.68,0,0,0,0,6.78,9.86,2.4,41.1,24.92,NA,60.14,43.5,0.15203144871515,0.276762649879135,0.0569209395564536,0.215913489254811,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.143221100306325
"24",24,10.68,28.5,6.28,2.7,0,1.86,20.78,48.32,3.36,47.6,88.8,72.3837633957221,120.06,50.96,0.200832862805882,0.575497864203827,0.0679448173938539,0.701777494945668,0.546482412886112,1.53983556047098,0.1131670919082,NA,0.21235998438065,1.25979137273179,0.0899652749211573,0.625843453986464,0.0998946934227846,1.00287974446555,0.70184126984127,0.343624801765673
"25",25,28.5,15.94,11.86,6.38,1.24,28.28,18.38,21.46,10.1,85.82,80.58,69.3603746505042,135.76,95.92,0.209907290401669,0.293755753672669,0.111648534178091,0.224063015505446,0.883009573212205,0.300354465029218,-0.170557732182319,-0.0700519092140141,-0.288388072994289,0.137208323214321,0,0.0135123084390819,0,0.0143444618126118,0.654979974445919,0.357590280774864
"26",26,15.94,16.54,9.2,16.98,24.66,0,9.54,5.44,6.96,100.32,40.08,63.9386823871669,122.26,107.28,0.134944534806221,0.122760865424558,0.0669969792312169,0.0530889005374915,0.556111315292178,0.593817007297221,NA,0.16050168631931,0.229966456945419,-0.417018157524287,0,-0.179926793965584,0,-0.164229145550274,0.351234948814859,0.180922761163542
"27",27,16.54,0,0,0,0,13.96,27.74,12.18,24.76,81,99.92,NA,145.68,105.76,0.360461662796498,0.273980601768588,0.267144678714884,0.14026808759455,NA,NA,NA,NA,0.170877539675273,NA,0.153299019607843,NA,0.172168310098025,NA,NA,0.435416459650779
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
