genus,binno
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,97
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Afiacyathus,98
Agastrocyathus,97
Agastrocyathus,97
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agastrocyathus,98
Agyrekocyathus,97
Agyrekocyathus,97
Agyrekocyathus,97
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Agyrekocyathus,98
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,97
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,98
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Ajacicyathus,99
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
Alataucyathus,98
