genus,binno
Acervulina,1
Acervulina,1
Acervulina,1
Acervulina,1
Acervulina,1
Acervulina,1
Acervulina,1
Acervulina,1
Ammonia,1
Ammonia,1
Ammonia,1
Ammonia,1
Ammonia,1
Amphicoryna,1
Amphisorus,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Amphistegina,1
Annulocibicides,1
Annulocibicides,1
Annulocibicides,1
Annulocibicides,1
Astrononion,1
Bdelloidina,1
Bdelloidina,1
Bdelloidina,1
Bolivina,1
Bolivina,1
Bolivina,1
Bolivina,1
Bolivina,1
Bolivina,1
Bolivina,1
Bolivina,1
Brizalina,1
Brizalina,1
Brizalina,1
Brizalina,1
Buccella,1
Bulimina,1
Bulimina,1
Bulimina,1
Bulimina,1
Calcarina,1
Calcarina,1
Calcarina,1
Calcarina,1
Calcarina,1
Calcarina,1
Cancris,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Carpenteria,1
Cassidulina,1
Cassidulina,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cibicides,1
Cribroelphidium,1
Discorbis,1
Discorbis,1
Discorbis,1
Discorbis,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Elphidium,1
Eponides,1
Eponides,1
Eponides,1
Eponides,1
Eponides,1
Eponides,1
Fissurina,1
Fissurina,1
Fursenkoina,1
Gavelinopsis,1
Glabratella,1
Glabratella,1
Glabratella,1
Glabratella,1
Globigerina,1
Globocassidulina,1
Gypsina,1
Gypsina,1
Heterolepa,1
Heterolepa,1
Heterolepa,1
Heterostegina,1
Heterostegina,1
Heterostegina,1
Heterostegina,1
Heterostegina,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Homotrema,1
Islandiella,1
Islandiella,1
Islandiella,1
Islandiella,1
Lagena,1
Lagena,1
Lagena,1
Lagena,1
Marginopora,1
Marginopora,1
Marginopora,1
Marginopora,1
Marginopora,1
Marginopora,1
Marginopora,1
Miniacina,1
Miniacina,1
Miniacina,1
Nodosaria,1
Nonionella,1
Nonionella,1
Nummulites,1
Nummulites,1
Nummulites,1
Nummulites,1
Operculina,1
Operculina,1
Operculina,1
Peneroplis,1
Peneroplis,1
Protelphidium,1
Protelphidium,1
Protelphidium,1
Protelphidium,1
Protelphidium,1
Pyrgo,1
Pyrgo,1
