genus,binno
Abiesgraptus,75
Abrograptus,87
Acrograptus,87
Acrograptus,87
Acrograptus,87
Acrograptus,87
Acrograptus,87
Acrograptus,88
Acrograptus,88
Acrograptus,88
Acrograptus,88
Acrograptus,88
Acrograptus,89
Acrograptus,89
Acrograptus,89
Acrograptus,89
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Adelograptus,90
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Akidograptus,83
Amplexograptus,84
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,85
Amplexograptus,86
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Amplexograptus,87
Ancoragraptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anisograptus,90
Anticostia,84
Anticostia,84
Anticostia,84
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Anticostia,85
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Aorograptus,90
Appendispinograptus,84
Appendispinograptus,84
Appendispinograptus,84
Appendispinograptus,84
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Appendispinograptus,85
Araneograptus,89
Araneograptus,89
Araneograptus,90
Araneograptus,90
Araneograptus,90
Araneograptus,90
Araneograptus,90
Araneograptus,90
Archiclimacograptus,87
Arienigraptus,87
Arienigraptus,87
Arienigraptus,87
Atavograptus,82
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,83
Atavograptus,84
Atavograptus,84
Aulograptus,87
Avitograptus,83
Avitograptus,83
Avitograptus,84
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,87
Azygograptus,88
Azygograptus,88
Azygograptus,88
Azygograptus,88
Azygograptus,88
Azygograptus,88
Azygograptus,89
Azygograptus,90
Baltograptus,87
Baltograptus,88
Baltograptus,88
Baltograptus,89
Baltograptus,89
Baltograptus,89
Baltograptus,89
Baltograptus,89
Baltograptus,89
Baltograptus,90
Barrandeograptus,81
Barrandeograptus,81
Barrandeograptus,81
Barrandeograptus,81
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Bryograptus,90
Calamograptus,89
Campograptus,82
Campograptus,82
Cardiograptus,87
Cardiograptus,87
Cardiograptus,87
Cardiograptus,87
Cardiograptus,87
Cardiograptus,88
Cephalograptus,82
Chigraptus,90
Climacograptus,76
Climacograptus,76
Climacograptus,81
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,82
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,83
Climacograptus,84
Climacograptus,84
Climacograptus,84
Climacograptus,84
Climacograptus,84
Climacograptus,84
Climacograptus,84
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
Climacograptus,85
