genus,binno
Aurila,1
Aurila,1
Bicornucythere,1
Callistocythere,1
Carinocythereis,1
Caudites,1
Cyprideis,1
Cyprideis,1
Cytheridea,1
Cytheridella,1
Cytherois,1
Cytheromorpha,1
Loxoconcha,1
Loxoconcha,1
Loxoconcha,1
Loxoconcha,1
Loxoconcha,1
Loxocorniculum,1
Neomonoceratina,1
Neonesidea,1
Paijenborchella,1
Paradoxostoma,1
Pectocythere,1
Pistocythereis,1
Pontocythere,1
Pontocythere,1
Propontocypris,1
Propontocypris,1
Radimella,1
Semicytherura,1
Semicytherura,1
Semicytherura,1
Xestoleberis,1
Xestoleberis,1
Cytherelloidea,1
Candonopsis,1
Loxocauda,1
Neonesidea,1
Loxoconcha,1
Loxoconcha,1
Glyptobairdia,1
Polycope,2
Argilloecia,2
Bythocypris,2
Callistocythere,2
Caudites,2
Cythereis,2
Cytheridea,2
Cytheridea,2
Cytheromorpha,2
Cytheromorpha,2
Cytheropteron,2
Henryhowella,2
Heterocyprideis,2
Loxoconcha,2
Loxoconcha,2
Loxoconcha,2
Loxocorniculum,2
Neomonoceratina,2
Neonesidea,2
Paijenborchella,2
Paracytherois,2
Paradoxostoma,2
Parakrithella,2
Pectocythere,2
Pistocythereis,2
Radimella,2
Robertsonites,2
Robertsonites,2
Sarsicytheridea,2
Sarsicytheridea,2
Xestoleberis,2
Cytherelloidea,2
Cytheromorpha,2
Loxoconcha,2
Loxoconcha,2
Loxoconcha,2
Loxoconcha,2
Loxoconcha,2
Xestoleberis,2
Semicytherura,2
Bicornucythere,2
Loxocorniculum,2
Radimella,2
Palmoconcha,3
Palmoconcha,3
Ambostracon,3
Urocythereis,3
Acuticythereis,4
Aurila,4
Aurila,4
Bosquetina,4
Campylocythere,4
Climacoidea,4
Costa,4
Costa,4
Cytheridea,4
Cytheridea,4
Cytherura,4
Cytherura,4
Echinocythereis,4
Henryhowella,4
Hulingsina,4
Krithe,4
Pterygocythereis,4
Pterygocythereis,4
Cytherella,4
Cytherella,4
Acanthocythereis,4
Loxoconcha,4
Cytheromorpha,4
Cytherura,4
Aurila,5
Costa,5
Cytheridea,5
Henryhowella,5
Pterygocythereis,5
Cativella,6
Cativella,6
Cyprideis,6
Cyprideis,6
Cytheropteron,6
Krithe,6
Loxoconcha,6
Pellucistoma,6
Phlyctocythere,6
Radimella,6
Xestoleberis,6
Cytherella,6
Cytherella,6
Cytherelloidea,6
Actinocythereis,7
Actinocythereis,7
Actinocythereis,7
Acuticythereis,7
Anchistrocheles,7
Aurila,7
Aurila,7
Aurila,7
Bairdia,7
Bairdia,7
Bairdoppilata,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bradleya,7
Bradleya,7
Bythoceratina,7
Bythoceratina,7
Bythocythere,7
Carinocythereis,7
Cushmanidea,7
Cyprideis,7
Cyprideis,7
Cytheralison,7
Cythere,7
Cythere,7
Cytheridea,7
Cytheromorpha,7
Cytheropteron,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Cytherura,7
Echinocythereis,7
Eucythere,7
Eucythere,7
Eucythere,7
Eucythere,7
Eucythere,7
Hemicythere,7
Hulingsina,7
Hulingsina,7
Hulingsina,7
Hulingsina,7
Hulingsina,7
Hulingsina,7
Hulingsina,7
Krithe,7
Leptocythere,7
Leptocythere,7
Leptocythere,7
Leptocythere,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Loxoconcha,7
Macrocypris,7
Microcytherura,7
Microcytherura,7
Microcytherura,7
Microcytherura,7
Microcytherura,7
Microcytherura,7
Microcytherura,7
Muellerina,7
Muellerina,7
Murrayina,7
Neocaudites,7
Paracyprideis,7
Paracypris,7
Paracytheridea,7
Paracytheridea,7
Paracytheridea,7
Paracytheroma,7
Paradoxostoma,7
Paradoxostoma,7
Peratocytheridea,7
Peratocytheridea,7
Pontocythere,7
Propontocypris,7
Proteoconcha,7
Proteoconcha,7
Proteoconcha,7
Proteoconcha,7
Proteoconcha,7
Pseudocytheretta,7
Pterygocythereis,7
Quadracythere,7
Quadracythere,7
Radimella,7
Sclerochilus,7
Thaerocythere,7
Trachyleberis,7
Trachyleberis,7
Trachyleberis,7
Urocythereis,7
Xestoleberis,7
Xestoleberis,7
Cytherella,7
Cytherella,7
Cytherella,7
Cytherelloidea,7
Cytheridea,7
Cytheridea,7
Peratocytheridea,7
Peratocytheridea,7
Actinocythereis,7
Neocaudites,7
Neocaudites,7
Malzella,7
Echinocythereis,7
Caudites,7
Muellerina,7
Muellerina,7
Muellerina,7
Muellerina,7
Thaerocythere,7
Hermanites,7
Proteoconcha,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Bensonocythere,7
Cytheromorpha,7
Cytheromorpha,7
Cytheromorpha,7
Microcytherura,7
Microcytherura,7
Paracytheridea,7
Xestoleberis,7
Loxoconcha,7
Cytherura,7
Loxoconcha,7
Cytheromorpha,7
Campylocythere,7
Cytherura,7
Cytherura,7
Paracytheridea,7
Orionina,7
Bairdia,7
Malzella,7
Aurila,8
Aurila,8
Bairdia,8
Callistocythere,8
Capsacythere,8
Cletocythereis,8
Cytheretta,8
Cytheridea,8
Cytheridea,8
Leptocythere,8
Loxoconcha,8
Loxoconcha,8
Loxoconcha,8
Loxoconcha,8
Loxoconcha,8
Loxoconcha,8
Loxocorniculum,8
Mutilus,8
Mutilus,8
Mutilus,8
Neonesidea,8
Pokornyella,8
Pseudopsammocythere,8
Tenedocythere,8
Tenedocythere,8
Urocythereis,8
Xestoleberis,8
Xestoleberis,8
Xestoleberis,8
Xestoleberis,8
Candona,8
Candona,8
Acanthocythereis,9
Argilloecia,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Aurila,9
Bairdia,9
Basslerites,9
Basslerites,9
Basslerites,9
Bythocypris,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Callistocythere,9
Carinocythereis,9
Carinocythereis,9
Carinocythereis,9
Cativella,9
Caudites,9
Caudites,9
Caudites,9
Cistacythereis,9
Cistacythereis,9
Cistacythereis,9
Cistacythereis,9
Cletocythereis,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cnestocythere,9
Cyprideis,9
Cythereis,9
Cythereis,9
Cytheretta,9
Cytheretta,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytheridea,9
Cytherura,9
Eucytherura,9
Flexus,9
Flexus,9
Hermanites,9
Ionicythere,9
Ionicythere,9
Ionicythere,9
Ionicythere,9
Ionicythere,9
Ionicythere,9
