genus,binno
Spiriferina,41
Spiriferina,41
Callospiriferina,42
Callospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Calyptoria,42
Calyptoria,42
Calyptoria,42
Calyptoria,42
Calyptoria,42
Calyptoria,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Spiriferina,42
Spiriferina,42
Calyptoria,42
Calyptoria,42
Calyptoria,42
Dispiriferina,42
Dispiriferina,42
Dispiriferina,42
Dispiriferina,42
Spiriferina,42
Spiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Callospiriferina,42
Callospiriferina,42
Liospiriferina,42
Spiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Liospiriferina,42
Spiriferina,42
Spiriferina,42
Cisnerospira,42
Cisnerospira,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Spiriferina,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Cisnerospira,42
Spiriferina,42
Callospiriferina,43
Callospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Dispiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Dispiriferina,43
Cisnerospira,43
Suessia,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Liospiriferina,43
Spiriferina,43
Spiriferina,43
Dispiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Liospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Cisnerospira,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Liospiriferina,43
Spiriferina,43
Spiriferina,43
Suessia,43
Suessia,43
Callospiriferina,43
Callospiriferina,43
Callospiriferina,43
Cisnerospira,43
Cisnerospira,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Spiriferina,43
Cisnerospira,43
Cisnerospira,43
Callospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Spiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Spiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
Liospiriferina,44
