"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,33.14,NA,NA,NA,NA,30.5,53.22,NA,NA,83.72,NA,83.72,NA,0.364262339451362,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,33.14,12.4,3.86,1.26,NA,0,21.18,32.38,6.74,46.48,86.7,61.3799696847799,106.78,53.22,0.261465844488841,0.501376803250659,0.135517930643456,0.528983272161899,2.18674991827116,1.19856519749421,NA,NA,1.92864092559723,NA,0.814771864056448,NA,1.71880710965076,NA,0.757785714285714,0.567524176626586
"3",3,12.4,0,0,0,0,4.18,3.4,3.44,4.56,74.3,20.5,NA,85.7,78.86,0.0929597190552778,0.0797778377159881,0.059781125971514,0.0453224717940107,NA,NA,NA,NA,1.09092202391064,NA,0.655731518481518,NA,1.09092202391064,NA,NA,0.122428382893357
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,0,4.54,0,0,9.86,0,1.8,4.14,0,77.74,11,NA,83.68,77.74,0.0215042115994917,0.0710998637102136,0,0.0520491524025533,NA,NA,NA,NA,NA,-0.779746262809759,NA,0,NA,0,NA,0.0651587416503646
"6",6,4.54,0,0,0,0,5.44,16.6,16.14,14.06,67.82,69.18,NA,114.62,81.88,0.267616466101895,0.285722472977342,0.189235811201719,0.214098877330254,NA,NA,NA,NA,-0.186397720504072,NA,0,NA,0,NA,NA,0.330278231868399
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,14.74,0,0,12.62,0,13.7,12.76,12.76,71.2,63.04,NA,110.42,83.96,0.239726428141418,0.239920775720082,0.165198649368432,0.165420662514478,NA,NA,NA,NA,NA,0.166251116941801,NA,0.156455406306799,NA,0.180492804573395,NA,0.335186843370164
"9",9,14.74,16.86,7.18,4.54,0,0,11.7,14.68,7.24,76.72,53.88,46.0609960577546,110.34,83.96,0.171399127244366,0.238869443496869,0.0901279839356298,0.175132768580644,0.72910326523681,0.865434770122881,NA,NA,0.510041732155358,0.611969806391024,0.172537079008845,0.246408636039979,0.207612131790963,0.295413040049691,0.622072843822844,0.264580126363953
"10",10,16.86,0,0,0,0,0,9.1,8.86,9.66,81.74,46.26,NA,109.36,91.4,0.171217290392461,0.163935549473101,0.111604287972037,0.10297462201452,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.228142859733538
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0,25.2,0,0,0,0,9.38,21.06,2.8,87.8,55.62,NA,121.04,90.6,0.100543177328023,0.251341639916984,0.0313859788839046,0.214989813606036,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.255014901575762
"15",15,25.2,52.82,17.58,14.52,0,1.92,15.62,27.98,9.88,98.98,87.38,83.3153411665532,152.46,108.86,0.167099331411773,0.285818749142809,0.0951141486977629,0.249077619234855,0.364362116521252,1.10686148200583,0.299144058256465,NA,0.155915840642704,0.742597218921744,0.00514332465432564,0.307872475949711,0.00533422206046495,0.370337070720988,0.547862302304926,0.342865980933756
"16",16,52.82,46.52,18.28,1.24,6.02,14.72,91.14,72.2,34.88,92.08,264.1,145.80284455468,290.3,126.96,0.434168420605877,0.562701203564741,0.32156838126996,0.579393795116309,1.06714941287418,0.940262851038397,0.0957630147825316,0.333063709147233,0.458414396120387,0.629202025095883,0.366141005364889,0.462967359171531,0.458414396120387,0.625320799374393,0.937635777529929,0.716154044199304
"17",17,46.52,41.6,33.48,54.82,3.48,25.7,7.74,10.04,7.78,156.5,67.64,92.4513672649917,182.06,164.28,0.0852075414952679,0.0976051292995363,0.0485048696162606,0.0621514893754321,0.330325428675541,0.217510321543158,0.0652001642544938,0.152292263278371,-0.117939652372275,0.0494295652526589,-0.116194108963219,0,-0.109569134405537,0,0.379426875873629,0.269042804308686
"18",18,41.6,86.92,24.74,7.48,52.82,0,60.2,30.18,39.4,127.14,198.14,133.666893245628,256.92,166.54,0.387605328283602,0.351804973979417,0.269945389443788,0.213085475598233,0.521609702779829,1.25951313600245,NA,0.2881267379108,0.422236498429404,0.104098075039416,0.190817434738641,0.09792752498585,0.214847146277903,0.104098075039416,0.768605323534117,0.537899688153925
"19",19,86.92,0,0,0,0,0,79.82,8.48,91.76,65.56,211.44,NA,245.62,157.32,0.698668402258869,0.359545791855966,0.877483976307765,0.122445768002337,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.478577879498182
